Counted Sample ID,Canonical Entity ID,Entity Name,Batch,Record Type,Region,Primary Layer,Current Verification Result,Existing Reviewed Source Count,Missing Independent Source Count,Missing Primary Source,Network Failure Present,Claim Support Failure Present,Identity Failure Present,Recommended Recovery Source Type,Recovery Priority,Notes
CNT-DEC-STUDIO-NAME-001-001,CAN-DEC-STUDIO-NAME-001-001,Koei Tecmo,MV-A,ACTIVE,Doğu Asya,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,1,1,NO,NO,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-002,CAN-DEC-STUDIO-NAME-001-002,Take-Two Interactive,MV-A,ACTIVE,Kuzey Amerika,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-003,CAN-DEC-STUDIO-NAME-001-003,THQ Nordic,MV-A,ACTIVE,Avrupa,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,1,1,NO,NO,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-004,CAN-DEC-STUDIO-NAME-001-004,Bandai Namco Entertainment,MV-A,ACTIVE,Doğu Asya,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-005,CAN-DEC-STUDIO-NAME-001-005,Capcom,MV-A,ACTIVE,Doğu Asya,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,1,1,NO,YES,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-006,CAN-DEC-STUDIO-NAME-001-006,Sega,MV-A,ACTIVE,Doğu Asya,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-007,CAN-DEC-STUDIO-NAME-001-007,Square Enix,MV-A,ACTIVE,Doğu Asya,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-008,CAN-DEC-STUDIO-NAME-001-008,Konami Digital Entertainment,MV-A,ACTIVE,Doğu Asya,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-009,CAN-DEC-STUDIO-NAME-001-009,Nintendo,MV-A,ACTIVE,Doğu Asya,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-010,CAN-DEC-STUDIO-NAME-001-010,Sony Interactive Entertainment,MV-A,ACTIVE,Doğu Asya,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,1,1,NO,YES,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-011,CAN-DEC-STUDIO-NAME-001-011,Xbox Game Studios,MV-A,ACTIVE,Kuzey Amerika,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,1,1,NO,YES,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-013,CAN-DEC-STUDIO-NAME-001-013,Tripwire Interactive,MV-A,ACTIVE,Kuzey Amerika,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,1,1,YES,YES,YES,YES,Independent primary/official source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-014,CAN-DEC-STUDIO-NAME-001-014,CI Games,MV-A,ACTIVE,Avrupa,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,1,1,NO,NO,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-015,CAN-DEC-STUDIO-NAME-001-015,Embracer Group,MV-A,ACTIVE,Avrupa,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-018,CAN-DEC-STUDIO-NAME-001-018,Nacon,MV-A,ACTIVE,Avrupa,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,1,1,NO,YES,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-019,CAN-DEC-STUDIO-NAME-001-019,Hooded Horse,MV-A,ACTIVE,Kuzey Amerika,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-020,CAN-DEC-STUDIO-NAME-001-020,NetEase Games,MV-A,ACTIVE,Doğu Asya,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,1,1,NO,YES,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-021,CAN-DEC-STUDIO-NAME-001-021,Tencent Games,MV-A,ACTIVE,Doğu Asya,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-022,CAN-DEC-STUDIO-NAME-001-022,Krafton,MV-A,ACTIVE,Doğu Asya,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-023,CAN-DEC-STUDIO-NAME-001-023,NCSoft,MV-A,ACTIVE,Doğu Asya,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,1,1,NO,YES,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-026,CAN-DEC-STUDIO-NAME-001-026,Devolver Digital,MV-A,ACTIVE,Kuzey Amerika,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-028,CAN-DEC-STUDIO-NAME-001-028,Team17,MV-A,ACTIVE,Avrupa,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-029,CAN-DEC-STUDIO-NAME-001-029,Raw Fury,MV-A,ACTIVE,Avrupa,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-030,CAN-DEC-STUDIO-NAME-001-030,11 bit studios,MV-A,ACTIVE,Avrupa,Büyük uluslararası yayıncılar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-031,CAN-DEC-STUDIO-NAME-001-031,Supergiant Games,MV-B,ACTIVE,Kuzey Amerika,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-033,CAN-DEC-STUDIO-NAME-001-033,Subset Games,MV-B,ACTIVE,Kuzey Amerika,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-035,CAN-DEC-STUDIO-NAME-001-035,Mega Crit,MV-B,ACTIVE,Kuzey Amerika,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-036,CAN-DEC-STUDIO-NAME-001-036,Innersloth,MV-B,ACTIVE,Kuzey Amerika,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-037,CAN-DEC-STUDIO-NAME-001-037,Sabotage Studio,MV-B,ACTIVE,Kuzey Amerika,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-039,CAN-DEC-STUDIO-NAME-001-039,Finji,MV-B,ACTIVE,Kuzey Amerika,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-040,CAN-DEC-STUDIO-NAME-001-040,The Game Bakers,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
