Verification Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Record Type,Original Status,Verification Result,Qualifying Source 1 ID,Qualifying Source 2 ID,Reviewer Agent ID,Confidence,Outstanding Evidence Requirement,Consolidation Status
MV-A,CNT-DEC-STUDIO-NAME-001-001,CAN-DEC-STUDIO-NAME-001-001,koei tecmo,ACTIVE,STATUS_UNCERTAIN,STATUS_UNCERTAIN,NOT_APPLICABLE,NOT_APPLICABLE,independent-market-evidence-verification-reviewer,HIGH â€” fail-closed,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence,RECOVERY_REQUIRED
MV-A,CNT-DEC-STUDIO-NAME-001-002,CAN-DEC-STUDIO-NAME-001-002,take two interactive,ACTIVE,STATUS_UNCERTAIN,STATUS_UNCERTAIN,NOT_APPLICABLE,NOT_APPLICABLE,independent-market-evidence-verification-reviewer,HIGH â€” fail-closed,Qualifying evidence threshold not met; primary source; publisher independence; origin independence,RECOVERY_REQUIRED
MV-A,CNT-DEC-STUDIO-NAME-001-003,CAN-DEC-STUDIO-NAME-001-003,thq nordic,ACTIVE,STATUS_UNCERTAIN,STATUS_UNCERTAIN,NOT_APPLICABLE,NOT_APPLICABLE,independent-market-evidence-verification-reviewer,HIGH â€” fail-closed,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence,RECOVERY_REQUIRED
MV-A,CNT-DEC-STUDIO-NAME-001-004,CAN-DEC-STUDIO-NAME-001-004,bandai namco entertainment,ACTIVE,STATUS_UNCERTAIN,STATUS_UNCERTAIN,NOT_APPLICABLE,NOT_APPLICABLE,independent-market-evidence-verification-reviewer,HIGH â€” fail-closed,Qualifying evidence threshold not met; primary source; publisher independence; origin independence,RECOVERY_REQUIRED
MV-A,CNT-DEC-STUDIO-NAME-001-005,CAN-DEC-STUDIO-NAME-001-005,capcom,ACTIVE,STATUS_UNCERTAIN,STATUS_UNCERTAIN,NOT_APPLICABLE,NOT_APPLICABLE,independent-market-evidence-verification-reviewer,HIGH â€” fail-closed,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence,RECOVERY_REQUIRED
MV-A,CNT-DEC-STUDIO-NAME-001-006,CAN-DEC-STUDIO-NAME-001-006,sega,ACTIVE,STATUS_UNCERTAIN,STATUS_UNCERTAIN,NOT_APPLICABLE,NOT_APPLICABLE,independent-market-evidence-verification-reviewer,HIGH â€” fail-closed,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence,RECOVERY_REQUIRED
MV-A,CNT-DEC-STUDIO-NAME-001-007,CAN-DEC-STUDIO-NAME-001-007,square enix,ACTIVE,STATUS_UNCERTAIN,STATUS_UNCERTAIN,NOT_APPLICABLE,NOT_APPLICABLE,independent-market-evidence-verification-reviewer,HIGH â€” fail-closed,Qualifying evidence threshold not met; primary source; publisher independence; origin independence,RECOVERY_REQUIRED
MV-A,CNT-DEC-STUDIO-NAME-001-008,CAN-DEC-STUDIO-NAME-001-008,konami digital entertainment,ACTIVE,STATUS_UNCERTAIN,STATUS_UNCERTAIN,NOT_APPLICABLE,NOT_APPLICABLE,independent-market-evidence-verification-reviewer,HIGH â€” fail-closed,Qualifying evidence threshold not met; primary source; publisher independence; origin independence,RECOVERY_REQUIRED
MV-A,CNT-DEC-STUDIO-NAME-001-009,CAN-DEC-STUDIO-NAME-001-009,nintendo,ACTIVE,STATUS_UNCERTAIN,STATUS_UNCERTAIN,NOT_APPLICABLE,NOT_APPLICABLE,independent-market-evidence-verification-reviewer,HIGH â€” fail-closed,Qualifying evidence threshold not met; primary source; publisher independence; origin independence,RECOVERY_REQUIRED
MV-A,CNT-DEC-STUDIO-NAME-001-010,CAN-DEC-STUDIO-NAME-001-010,sony interactive entertainment,ACTIVE,STATUS_UNCERTAIN,STATUS_UNCERTAIN,NOT_APPLICABLE,NOT_APPLICABLE,independent-market-evidence-verification-reviewer,HIGH â€” fail-closed,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence,RECOVERY_REQUIRED
MV-A,CNT-DEC-STUDIO-NAME-001-011,CAN-DEC-STUDIO-NAME-001-011,xbox game studios,ACTIVE,STATUS_UNCERTAIN,STATUS_UNCERTAIN,NOT_APPLICABLE,NOT_APPLICABLE,independent-market-evidence-verification-reviewer,HIGH â€” fail-closed,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence,RECOVERY_REQUIRED
MV-A,CNT-DEC-STUDIO-NAME-001-012,CAN-DEC-STUDIO-NAME-001-012,activision,ACTIVE,STATUS_UNCERTAIN,VERIFIED_ACTIVE,SRC-DEC-STUDIO-NAME-001-023,SRC-DEC-STUDIO-NAME-001-024,independent-market-evidence-verification-reviewer,HIGH,NONE,CONSOLIDATED_VERIFIED
MV-A,CNT-DEC-STUDIO-NAME-001-013,CAN-DEC-STUDIO-NAME-001-013,tripwire interactive,ACTIVE,STATUS_UNCERTAIN,STATUS_UNCERTAIN,NOT_APPLICABLE,NOT_APPLICABLE,independent-market-evidence-verification-reviewer,HIGH â€” fail-closed,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence,RECOVERY_REQUIRED
MV-A,CNT-DEC-STUDIO-NAME-001-014,CAN-DEC-STUDIO-NAME-001-014,ci games,ACTIVE,STATUS_UNCERTAIN,STATUS_UNCERTAIN,NOT_APPLICABLE,NOT_APPLICABLE,independent-market-evidence-verification-reviewer,HIGH â€” fail-closed,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence,RECOVERY_REQUIRED
