Verification Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Current Status,Primary Counted Layer,Region,Existing Source IDs,Required Independent Source Count,Required Primary Source Count,Assigned Reviewer Role,Verification Status,Notes
MV-B,CNT-DEC-STUDIO-NAME-001-031,CAN-DEC-STUDIO-NAME-001-031,supergiant games,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-061;SRC-DEC-STUDIO-NAME-001-062,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-B,CNT-DEC-STUDIO-NAME-001-032,CAN-DEC-STUDIO-NAME-001-032,klei entertainment,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-063;SRC-DEC-STUDIO-NAME-001-064,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-B,CNT-DEC-STUDIO-NAME-001-033,CAN-DEC-STUDIO-NAME-001-033,subset games,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-065;SRC-DEC-STUDIO-NAME-001-066,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-B,CNT-DEC-STUDIO-NAME-001-034,CAN-DEC-STUDIO-NAME-001-034,motion twin,STATUS_UNCERTAIN,Bağımsız stüdyolar,Avrupa,SRC-DEC-STUDIO-NAME-001-067;SRC-DEC-STUDIO-NAME-001-068,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-B,CNT-DEC-STUDIO-NAME-001-035,CAN-DEC-STUDIO-NAME-001-035,mega crit,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-069;SRC-DEC-STUDIO-NAME-001-070,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-B,CNT-DEC-STUDIO-NAME-001-036,CAN-DEC-STUDIO-NAME-001-036,innersloth,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-071;SRC-DEC-STUDIO-NAME-001-072,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-B,CNT-DEC-STUDIO-NAME-001-037,CAN-DEC-STUDIO-NAME-001-037,sabotage studio,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-073;SRC-DEC-STUDIO-NAME-001-074,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-B,CNT-DEC-STUDIO-NAME-001-038,CAN-DEC-STUDIO-NAME-001-038,thunder lotus games,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-075;SRC-DEC-STUDIO-NAME-001-076,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-B,CNT-DEC-STUDIO-NAME-001-039,CAN-DEC-STUDIO-NAME-001-039,finji,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-077;SRC-DEC-STUDIO-NAME-001-078,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-B,CNT-DEC-STUDIO-NAME-001-040,CAN-DEC-STUDIO-NAME-001-040,the game bakers,STATUS_UNCERTAIN,Bağımsız stüdyolar,Avrupa,SRC-DEC-STUDIO-NAME-001-079;SRC-DEC-STUDIO-NAME-001-080,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-B,CNT-DEC-STUDIO-NAME-001-041,CAN-DEC-STUDIO-NAME-001-041,coffee stain studios,STATUS_UNCERTAIN,Bağımsız stüdyolar,Avrupa,SRC-DEC-STUDIO-NAME-001-081;SRC-DEC-STUDIO-NAME-001-082,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-B,CNT-DEC-STUDIO-NAME-001-042,CAN-DEC-STUDIO-NAME-001-042,ghost ship games,STATUS_UNCERTAIN,Bağımsız stüdyolar,Avrupa,SRC-DEC-STUDIO-NAME-001-083;SRC-DEC-STUDIO-NAME-001-084,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
