Verification Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Current Status,Primary Counted Layer,Region,Existing Source IDs,Required Independent Source Count,Required Primary Source Count,Assigned Reviewer Role,Verification Status,Notes
MV-C,CNT-DEC-STUDIO-NAME-001-061,CAN-DEC-STUDIO-NAME-001-061,chucklefish,STATUS_UNCERTAIN,Bağımsız stüdyolar,Avrupa,SRC-DEC-STUDIO-NAME-001-121;SRC-DEC-STUDIO-NAME-001-122,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-C,CNT-DEC-STUDIO-NAME-001-062,CAN-DEC-STUDIO-NAME-001-062,mediatonic,STATUS_UNCERTAIN,Bağımsız stüdyolar,Avrupa,SRC-DEC-STUDIO-NAME-001-123;SRC-DEC-STUDIO-NAME-001-124,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-C,CNT-DEC-STUDIO-NAME-001-063,CAN-DEC-STUDIO-NAME-001-063,aggro crab,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-125;SRC-DEC-STUDIO-NAME-001-126,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-C,CNT-DEC-STUDIO-NAME-001-064,CAN-DEC-STUDIO-NAME-001-064,heart machine,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-127;SRC-DEC-STUDIO-NAME-001-128,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-C,CNT-DEC-STUDIO-NAME-001-065,CAN-DEC-STUDIO-NAME-001-065,night school studio,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-129;SRC-DEC-STUDIO-NAME-001-130,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-C,CNT-DEC-STUDIO-NAME-001-066,CAN-DEC-STUDIO-NAME-001-066,mobius digital,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-131;SRC-DEC-STUDIO-NAME-001-132,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-C,CNT-DEC-STUDIO-NAME-001-067,CAN-DEC-STUDIO-NAME-001-067,drinkbox studios,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-133;SRC-DEC-STUDIO-NAME-001-134,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-C,CNT-DEC-STUDIO-NAME-001-068,CAN-DEC-STUDIO-NAME-001-068,kitfox games,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-135;SRC-DEC-STUDIO-NAME-001-136,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-C,CNT-DEC-STUDIO-NAME-001-069,CAN-DEC-STUDIO-NAME-001-069,brace yourself games,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-137;SRC-DEC-STUDIO-NAME-001-138,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-C,CNT-DEC-STUDIO-NAME-001-070,CAN-DEC-STUDIO-NAME-001-070,freebird games,STATUS_UNCERTAIN,Bağımsız stüdyolar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-139;SRC-DEC-STUDIO-NAME-001-140,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
