Batch ID,Source ID,Counted Sample ID,Existing or New,URL / Official Record ID,Publisher/Institution,Source Origin Group,Source Type,Primary/Official Classification,Accessibility Result,Final URL,Identity Result,Claim Support Result,Qualifies as Evidence,Independence Pair ID,Reviewer Agent ID,Review Date,Review Time,Final Review Status,Notes
MV-G,SRC-DEC-STUDIO-NAME-001-361,CNT-DEC-STUDIO-NAME-001-181,Existing,https://about.fb.com/news/2021/10/facebook-company-is-now-meta/,Meta,ORG:about.fb.com,Official announcement,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://about.fb.com/news/2021/10/facebook-company-is-now-meta/,PASS,PASS,YES,MV-G-PAIR-181,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:00:00+03:00,REVIEWED,Directly states Facebook company became Meta on 2021-10-28.
MV-G,SRC-DEC-STUDIO-NAME-001-362,CNT-DEC-STUDIO-NAME-001-181,Existing,https://about.meta.com/company-info/,Meta,ORG:meta.com,Corporate profile,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://www.meta.com/en-gb/about/company-info/,PASS,CLAIM_NOT_SUPPORTED,NO,MV-G-PAIR-181,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:00:00+03:00,REJECTED,Same corporate root and does not independently establish event date.
MV-G,MV-G-NEWSRC-001,CNT-DEC-STUDIO-NAME-001-181,New,https://techcrunch.com/2021/10/28/Facebook-changes-its-corporate-branding-to-meta/,TechCrunch,NEWS:techcrunch.com,Independent news,INDEPENDENT/SECONDARY,VERIFIED_ACCESSIBLE,https://techcrunch.com/2021/10/28/Facebook-changes-its-corporate-branding-to-meta/,PASS,PASS,YES,MV-G-PAIR-181,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:00:00+03:00,REVIEWED,Independent dated report corroborates the corporate rebrand.
MV-G,SRC-DEC-STUDIO-NAME-001-363,CNT-DEC-STUDIO-NAME-001-182,Existing,https://abc.xyz/investor/founders-letters/2015/,Alphabet,ORG:abc.xyz,Official investor letter,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://abc.xyz/investor/founders-letters/2015/,PASS,PASS,YES,MV-G-PAIR-182,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:01:00+03:00,REVIEWED,Official material identifies Alphabet restructuring and implementation date.
MV-G,SRC-DEC-STUDIO-NAME-001-364,CNT-DEC-STUDIO-NAME-001-182,Existing,https://abc.xyz/,Alphabet,ORG:abc.xyz,Corporate homepage,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://abc.xyz/,PASS,CLAIM_NOT_SUPPORTED,NO,MV-G-PAIR-182,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:01:00+03:00,REJECTED,Same corporate root and homepage does not establish historical event details.
MV-G,MV-G-NEWSRC-002,CNT-DEC-STUDIO-NAME-001-182,New,https://www.theguardian.com/technology/2015/aug/10/google-alphabet-parent-company,The Guardian,NEWS:theguardian.com,Independent news,INDEPENDENT/SECONDARY,VERIFIED_ACCESSIBLE,https://www.theguardian.com/technology/2015/aug/10/google-alphabet-parent-company,PASS,PASS,YES,MV-G-PAIR-182,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:01:00+03:00,REVIEWED,Independent report corroborates Google-to-Alphabet restructuring.
MV-G,SRC-DEC-STUDIO-NAME-001-365,CNT-DEC-STUDIO-NAME-001-183,Existing,https://block.xyz/inside/block-press-release,Block,ORG:block.xyz,Official announcement,PRIMARY/OFFICIAL,BROKEN_LINK,https://block.xyz/inside/block-press-release,PASS,CLAIM_NOT_SUPPORTED,NO,MV-G-PAIR-183,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:02:00+03:00,REJECTED,Existing event URL unavailable; preserved and not counted.
MV-G,SRC-DEC-STUDIO-NAME-001-366,CNT-DEC-STUDIO-NAME-001-183,Existing,https://block.xyz/,Block,ORG:block.xyz,Corporate homepage,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://block.xyz/,PASS,CLAIM_NOT_SUPPORTED,NO,MV-G-PAIR-183,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:02:00+03:00,REJECTED,Homepage does not establish old name and effective date.
MV-G,MV-G-NEWSRC-003,CNT-DEC-STUDIO-NAME-001-183,New,https://squareup.com/us/en/press/square-changes-name-to-block,Block Inc.,ORG:squareup.com,Official press release,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://squareup.com/us/en/press/square-changes-name-to-block,PASS,PASS,YES,MV-G-PAIR-183,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:02:00+03:00,REVIEWED,Official release states Square Inc changes to Block Inc effective about 2021-12-10.
MV-G,MV-G-NEWSRC-004,CNT-DEC-STUDIO-NAME-001-183,New,https://tech.yahoo.com/general/articles/dorsey-led-square-rebrands-block-214611243.html,Reuters via Yahoo,NEWS:reuters.com,Independent wire report,INDEPENDENT/SECONDARY,VERIFIED_ACCESSIBLE,https://tech.yahoo.com/general/articles/dorsey-led-square-rebrands-block-214611243.html,PASS,PASS,YES,MV-G-PAIR-183,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:02:00+03:00,REVIEWED,Reuters report independently corroborates the name change.
MV-G,SRC-DEC-STUDIO-NAME-001-367,CNT-DEC-STUDIO-NAME-001-184,Existing,https://plaion.com/en/news/koch-media-becomes-plaion,PLAION,ORG:plaion.com,Official announcement,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://plaion.com/about-us/news/0,PASS,PASS,YES,MV-G-PAIR-184,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:03:00+03:00,REVIEWED,Official page states Koch Media became PLAION effective 2022-08-04.
