Verification Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Current Status,Primary Counted Layer,Region,Existing Source IDs,Required Independent Source Count,Required Primary Source Count,Assigned Reviewer Role,Verification Status,Notes
MV-D,CNT-DEC-STUDIO-NAME-001-091,CAN-DEC-STUDIO-NAME-001-091,ace games,STATUS_UNCERTAIN,Mobil oyun şirketleri,Türkiye ve yakın bölge,SRC-DEC-STUDIO-NAME-001-181;SRC-DEC-STUDIO-NAME-001-182,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-092,CAN-DEC-STUDIO-NAME-001-092,tilting point,STATUS_UNCERTAIN,Mobil oyun şirketleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-183;SRC-DEC-STUDIO-NAME-001-184,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-093,CAN-DEC-STUDIO-NAME-001-093,kabam,STATUS_UNCERTAIN,Mobil oyun şirketleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-185;SRC-DEC-STUDIO-NAME-001-186,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-094,CAN-DEC-STUDIO-NAME-001-094,lilith games,STATUS_UNCERTAIN,Mobil oyun şirketleri,Doğu Asya,SRC-DEC-STUDIO-NAME-001-187;SRC-DEC-STUDIO-NAME-001-188,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-095,CAN-DEC-STUDIO-NAME-001-095,yoozoo games,STATUS_UNCERTAIN,Mobil oyun şirketleri,Doğu Asya,SRC-DEC-STUDIO-NAME-001-189;SRC-DEC-STUDIO-NAME-001-190,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-096,CAN-DEC-STUDIO-NAME-001-096,com2us,STATUS_UNCERTAIN,Mobil oyun şirketleri,Doğu Asya,SRC-DEC-STUDIO-NAME-001-191;SRC-DEC-STUDIO-NAME-001-192,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-097,CAN-DEC-STUDIO-NAME-001-097,netmarble,STATUS_UNCERTAIN,Mobil oyun şirketleri,Doğu Asya,SRC-DEC-STUDIO-NAME-001-193;SRC-DEC-STUDIO-NAME-001-194,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-098,CAN-DEC-STUDIO-NAME-001-098,shift up,STATUS_UNCERTAIN,Mobil oyun şirketleri,Doğu Asya,SRC-DEC-STUDIO-NAME-001-195;SRC-DEC-STUDIO-NAME-001-196,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-099,CAN-DEC-STUDIO-NAME-001-099,mighty bear games,STATUS_UNCERTAIN,Mobil oyun şirketleri,Güney ve Güneydoğu Asya,SRC-DEC-STUDIO-NAME-001-197;SRC-DEC-STUDIO-NAME-001-198,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-100,CAN-DEC-STUDIO-NAME-001-100,amanotes,STATUS_UNCERTAIN,Mobil oyun şirketleri,Güney ve Güneydoğu Asya,SRC-DEC-STUDIO-NAME-001-199;SRC-DEC-STUDIO-NAME-001-200,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-101,CAN-DEC-STUDIO-NAME-001-101,naughty dog,STATUS_UNCERTAIN,PC/konsol stüdyoları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-201;SRC-DEC-STUDIO-NAME-001-202,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-102,CAN-DEC-STUDIO-NAME-001-102,insomniac games,STATUS_UNCERTAIN,PC/konsol stüdyoları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-203;SRC-DEC-STUDIO-NAME-001-204,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-103,CAN-DEC-STUDIO-NAME-001-103,santa monica studio,STATUS_UNCERTAIN,PC/konsol stüdyoları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-205;SRC-DEC-STUDIO-NAME-001-206,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-104,CAN-DEC-STUDIO-NAME-001-104,sucker punch productions,STATUS_UNCERTAIN,PC/konsol stüdyoları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-207;SRC-DEC-STUDIO-NAME-001-208,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-105,CAN-DEC-STUDIO-NAME-001-105,guerrilla,STATUS_UNCERTAIN,PC/konsol stüdyoları,Avrupa,SRC-DEC-STUDIO-NAME-001-209;SRC-DEC-STUDIO-NAME-001-210,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-106,CAN-DEC-STUDIO-NAME-001-106,polyphony digital,STATUS_UNCERTAIN,PC/konsol stüdyoları,Doğu Asya,SRC-DEC-STUDIO-NAME-001-211;SRC-DEC-STUDIO-NAME-001-212,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-107,CAN-DEC-STUDIO-NAME-001-107,sie bend studio,STATUS_UNCERTAIN,PC/konsol stüdyoları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-213;SRC-DEC-STUDIO-NAME-001-214,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-108,CAN-DEC-STUDIO-NAME-001-108,bioware,STATUS_UNCERTAIN,PC/konsol stüdyoları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-215;SRC-DEC-STUDIO-NAME-001-216,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-109,CAN-DEC-STUDIO-NAME-001-109,respawn entertainment,STATUS_UNCERTAIN,PC/konsol stüdyoları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-217;SRC-DEC-STUDIO-NAME-001-218,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-110,CAN-DEC-STUDIO-NAME-001-110,dice,STATUS_UNCERTAIN,PC/konsol stüdyoları,Avrupa,SRC-DEC-STUDIO-NAME-001-219;SRC-DEC-STUDIO-NAME-001-220,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-111,CAN-DEC-STUDIO-NAME-001-111,criterion games,STATUS_UNCERTAIN,PC/konsol stüdyoları,Avrupa,SRC-DEC-STUDIO-NAME-001-221;SRC-DEC-STUDIO-NAME-001-222,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-112,CAN-DEC-STUDIO-NAME-001-112,codemasters,STATUS_UNCERTAIN,PC/konsol stüdyoları,Avrupa,SRC-DEC-STUDIO-NAME-001-223;SRC-DEC-STUDIO-NAME-001-224,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-113,CAN-DEC-STUDIO-NAME-001-113,remedy entertainment,STATUS_UNCERTAIN,PC/konsol stüdyoları,Avrupa,SRC-DEC-STUDIO-NAME-001-225;SRC-DEC-STUDIO-NAME-001-226,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-114,CAN-DEC-STUDIO-NAME-001-114,cd projekt red,STATUS_UNCERTAIN,PC/konsol stüdyoları,Avrupa,SRC-DEC-STUDIO-NAME-001-227;SRC-DEC-STUDIO-NAME-001-228,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-115,CAN-DEC-STUDIO-NAME-001-115,techland,STATUS_UNCERTAIN,PC/konsol stüdyoları,Avrupa,SRC-DEC-STUDIO-NAME-001-229;SRC-DEC-STUDIO-NAME-001-230,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-116,CAN-DEC-STUDIO-NAME-001-116,bloober team,STATUS_UNCERTAIN,PC/konsol stüdyoları,Avrupa,SRC-DEC-STUDIO-NAME-001-231;SRC-DEC-STUDIO-NAME-001-232,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-117,CAN-DEC-STUDIO-NAME-001-117,people can fly,STATUS_UNCERTAIN,PC/konsol stüdyoları,Avrupa,SRC-DEC-STUDIO-NAME-001-233;SRC-DEC-STUDIO-NAME-001-234,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-118,CAN-DEC-STUDIO-NAME-001-118,asobo studio,STATUS_UNCERTAIN,PC/konsol stüdyoları,Avrupa,SRC-DEC-STUDIO-NAME-001-235;SRC-DEC-STUDIO-NAME-001-236,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-119,CAN-DEC-STUDIO-NAME-001-119,larian studios,STATUS_UNCERTAIN,PC/konsol stüdyoları,Avrupa,SRC-DEC-STUDIO-NAME-001-237;SRC-DEC-STUDIO-NAME-001-238,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-D,CNT-DEC-STUDIO-NAME-001-120,CAN-DEC-STUDIO-NAME-001-120,quantic dream,STATUS_UNCERTAIN,PC/konsol stüdyoları,Avrupa,SRC-DEC-STUDIO-NAME-001-239;SRC-DEC-STUDIO-NAME-001-240,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
