Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Historical Case Type,Former Name,Current Name or Resolution,Event Date,Reason Classification,Verification Status,Official Source ID,Independent Source ID,Reviewer Agent ID,Review Date,Notes
MV-G,CNT-DEC-STUDIO-NAME-001-181,CAN-DEC-STUDIO-NAME-001-181,meta platforms rebrand,HISTORICAL_REBRAND_CASE,"Facebook, Inc.","Meta Platforms, Inc.",2021-10-28,REASON_UNVERIFIED,VERIFIED_HISTORICAL_CASE,SRC-DEC-STUDIO-NAME-001-361,MV-G-NEWSRC-001,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,Official announcement and independent report establish identity old and new names and date; causal claim not independently confirmed.
MV-G,CNT-DEC-STUDIO-NAME-001-182,CAN-DEC-STUDIO-NAME-001-182,alphabet corporate restructuring,HISTORICAL_REBRAND_CASE,Google Inc.,Alphabet Inc.,2015-10-02,REASON_UNVERIFIED,VERIFIED_HISTORICAL_CASE,SRC-DEC-STUDIO-NAME-001-363,MV-G-NEWSRC-002,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,Official filing/report and independent report establish holding-company reorganization and effective date; causal claim not independently confirmed.
MV-G,CNT-DEC-STUDIO-NAME-001-183,CAN-DEC-STUDIO-NAME-001-183,block corporate rebrand,HISTORICAL_REBRAND_CASE,"Square, Inc.","Block, Inc.",2021-12-10,REASON_UNVERIFIED,VERIFIED_HISTORICAL_CASE,MV-G-NEWSRC-003,MV-G-NEWSRC-004,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,Replacement official announcement and independent Reuters report establish names and effective date; causal claim not independently confirmed.
MV-G,CNT-DEC-STUDIO-NAME-001-184,CAN-DEC-STUDIO-NAME-001-184,plaion rebrand from koch media,HISTORICAL_REBRAND_CASE,Koch Media GmbH,PLAION,2022-08-04,REASON_UNVERIFIED,VERIFIED_HISTORICAL_CASE,SRC-DEC-STUDIO-NAME-001-367,MV-G-NEWSRC-005,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,Official announcement and independent industry publication establish identity names and date; reason retained unverified under fail-closed rule.
MV-G,CNT-DEC-STUDIO-NAME-001-185,CAN-DEC-STUDIO-NAME-001-185,behaviour interactive spelling rebrand,HISTORICAL_REBRAND_CASE,Artificial Mind & Movement,Behaviour Interactive,2010-11-08,REASON_UNVERIFIED,STATUS_UNCERTAIN,NOT_AVAILABLE,MV-G-NEWSRC-006,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,Independent report supports event but reviewed official pages do not directly establish the historical event; official-plus-independent threshold not met.
MV-G,CNT-DEC-STUDIO-NAME-001-186,CAN-DEC-STUDIO-NAME-001-186,dontnod to don t nod rebrand,HISTORICAL_REBRAND_CASE,DONTNOD Entertainment,DON'T NOD,2022-05-31,REASON_UNVERIFIED,VERIFIED_HISTORICAL_CASE,MV-G-NEWSRC-007,MV-G-NEWSRC-008,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,Official press release and independent industry report establish identity names and date; reason retained unverified.
MV-G,CNT-DEC-STUDIO-NAME-001-187,CAN-DEC-STUDIO-NAME-001-187,daybreak game company rebrand,HISTORICAL_REBRAND_CASE,Sony Online Entertainment,Daybreak Game Company,2015-02-02,REASON_UNVERIFIED,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-373,MV-G-NEWSRC-009,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,Independent report supports event but official event URL could not be verified accessible; fail-closed threshold not met.
MV-G,CNT-DEC-STUDIO-NAME-001-188,CAN-DEC-STUDIO-NAME-001-188,x corp twitter rebrand,HISTORICAL_REBRAND_CASE,Twitter,X,2023-07-24,REASON_UNVERIFIED,STATUS_UNCERTAIN,NOT_AVAILABLE,MV-G-NEWSRC-010,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,Independent AP report supports product-brand event but reviewed X corporate pages do not directly establish old name new name and event date together.
MV-G,CNT-DEC-STUDIO-NAME-001-189,CAN-DEC-STUDIO-NAME-001-189,ziff davis rebrand from j2 global,HISTORICAL_REBRAND_CASE,"J2 Global, Inc.","Ziff Davis, Inc.",2021-10-07,REASON_UNVERIFIED,VERIFIED_HISTORICAL_CASE,SRC-DEC-STUDIO-NAME-001-377,MV-G-NEWSRC-011,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,Official company announcement and independent publication establish names and completion date; reason retained unverified.
MV-G,CNT-DEC-STUDIO-NAME-001-190,CAN-DEC-STUDIO-NAME-001-190,paramount global rebrand,HISTORICAL_REBRAND_CASE,"ViacomCBS Inc.",Paramount Global,2022-02-16,REASON_UNVERIFIED,VERIFIED_HISTORICAL_CASE,SRC-DEC-STUDIO-NAME-001-379,MV-G-NEWSRC-012,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,Official announcement and independent Reuters report establish identity names and effective date; reason retained unverified.
