Verification Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Original Status,Verification Result,Qualifying Source 1 ID,Qualifying Source 2 ID,Primary Source Requirement,Independent Publisher Requirement,Independent Origin Requirement,Identity Check,Claim Support Check,Reviewer Agent ID,Review Date,Review Time,Confidence,Notes
MV-C,CNT-DEC-STUDIO-NAME-001-061,CAN-DEC-STUDIO-NAME-001-061,chucklefish,STATUS_UNCERTAIN,VERIFIED_ACTIVE,SRC-DEC-STUDIO-NAME-001-121,SRC-DEC-STUDIO-NAME-001-122,PASS,PASS,PASS,PASS,PASS,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Two accessible, claim-supporting sources from independent publishers/origins; one official source."
MV-C,CNT-DEC-STUDIO-NAME-001-062,CAN-DEC-STUDIO-NAME-001-062,mediatonic,STATUS_UNCERTAIN,VERIFIED_ACTIVE,SRC-DEC-STUDIO-NAME-001-123,SRC-DEC-STUDIO-NAME-001-124,PASS,PASS,PASS,PASS,PASS,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Two accessible, claim-supporting sources from independent publishers/origins; one official source."
MV-C,CNT-DEC-STUDIO-NAME-001-063,CAN-DEC-STUDIO-NAME-001-063,aggro crab,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-064,CAN-DEC-STUDIO-NAME-001-064,heart machine,STATUS_UNCERTAIN,VERIFIED_ACTIVE,SRC-DEC-STUDIO-NAME-001-127,SRC-DEC-STUDIO-NAME-001-128,PASS,PASS,PASS,PASS,PASS,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Two accessible, claim-supporting sources from independent publishers/origins; one official source."
MV-C,CNT-DEC-STUDIO-NAME-001-065,CAN-DEC-STUDIO-NAME-001-065,night school studio,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-066,CAN-DEC-STUDIO-NAME-001-066,mobius digital,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-067,CAN-DEC-STUDIO-NAME-001-067,drinkbox studios,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-068,CAN-DEC-STUDIO-NAME-001-068,kitfox games,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-069,CAN-DEC-STUDIO-NAME-001-069,brace yourself games,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-070,CAN-DEC-STUDIO-NAME-001-070,freebird games,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-071,CAN-DEC-STUDIO-NAME-001-071,studio mdhr,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-072,CAN-DEC-STUDIO-NAME-001-072,team cherry,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-073,CAN-DEC-STUDIO-NAME-001-073,witch beam,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-074,CAN-DEC-STUDIO-NAME-001-074,beethoven dinosaur,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-075,CAN-DEC-STUDIO-NAME-001-075,mojiken studio,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-076,CAN-DEC-STUDIO-NAME-001-076,supercell,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
