Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Historical Case Type,Case Verification Status,Verified Organization or Brand,Former Name,Current Name or Resolution,Event Date,Reason Classification,Reason Summary,Qualifying Official Source IDs,Qualifying Independent Source IDs,Reviewer Agent ID,Review Date,Notes
MV-H,CNT-DEC-STUDIO-NAME-001-191,CAN-DEC-STUDIO-NAME-001-191,zenimax scrolls trademark dispute,HISTORICAL_NAMING_PROBLEM_CASE,STATUS_UNCERTAIN,ZeniMax Media and Mojang,Scrolls,Settlement permitted Mojang's existing Scrolls game under limits,2012-03,REASON_UNVERIFIED,,"","MV-H-NEWSRC-002",independent-market-evidence-reviewer-MV-H,2026-08-10,Independent reporting confirms the dispute but no accessible case-specific official source passed; fail-closed.
MV-H,CNT-DEC-STUDIO-NAME-001-192,CAN-DEC-STUDIO-NAME-001-192,king candy trademark controversy,HISTORICAL_NAMING_PROBLEM_CASE,VERIFIED_HISTORICAL_CASE,King.com Limited,CANDY US trademark application,Application expressly abandoned in the United States,2014-02-26,CONFIRMED_REASON,King withdrew the US application after public controversy while retaining its EU position.,"MV-H-NEWSRC-003","MV-H-NEWSRC-016",independent-market-evidence-reviewer-MV-H,2026-08-10,USPTO-linked court record establishes the parties and mark; independent report records King's public explanation and controversy.
MV-H,CNT-DEC-STUDIO-NAME-001-193,CAN-DEC-STUDIO-NAME-001-193,the indie stone project zomboid impersonation warning,HISTORICAL_NAMING_PROBLEM_CASE,STATUS_UNCERTAIN,The Indie Stone,Unauthorized Project Zomboid mobile claims,Official warning that mobile claims and APKs are misleading or scams,2024-01-12,CONFIRMED_REASON,The Indie Stone stated the warning was issued because scam risk was too high.,"MV-H-NEWSRC-005","",independent-market-evidence-reviewer-MV-H,2026-08-10,Exact official warning is accessible but no reliable independent supporting source was located; fail-closed.
MV-H,CNT-DEC-STUDIO-NAME-001-194,CAN-DEC-STUDIO-NAME-001-194,mojang scrolls renamed caller s bane,HISTORICAL_NAMING_PROBLEM_CASE,VERIFIED_HISTORICAL_CASE,Mojang,Scrolls,Caller's Bane,2018-06-20,REASON_UNVERIFIED,,"MV-H-NEWSRC-001","MV-H-NEWSRC-006",independent-market-evidence-reviewer-MV-H,2026-08-10,Official archive and independent report confirm old name new name and date; the official announcement does not clearly substantiate the reason.
MV-H,CNT-DEC-STUDIO-NAME-001-195,CAN-DEC-STUDIO-NAME-001-195,ion fury title change,HISTORICAL_NAMING_PROBLEM_CASE,VERIFIED_HISTORICAL_CASE,3D Realms and Voidpoint,Ion Maiden,Ion Fury,2019-07-11,CONFIRMED_REASON,Publisher said the title changed to avoid legal issues following the Iron Maiden dispute.,"MV-H-NEWSRC-020","MV-H-NEWSRC-007",independent-market-evidence-reviewer-MV-H,2026-08-10,Platform-hosted publisher announcement and independent report agree on the change and date.
MV-H,CNT-DEC-STUDIO-NAME-001-196,CAN-DEC-STUDIO-NAME-001-196,fifa and ea sports naming separation,HISTORICAL_NAMING_PROBLEM_CASE,VERIFIED_HISTORICAL_CASE,Electronic Arts and FIFA,EA SPORTS FIFA,EA SPORTS FC,2022-05-10,CONFIRMED_REASON,The FIFA licensing partnership ended and EA continued its football series as EA SPORTS FC.,"SRC-DEC-STUDIO-NAME-001-391","MV-H-NEWSRC-017",independent-market-evidence-reviewer-MV-H,2026-08-10,EA announcement and independent reporting confirm identity transition and announcement date.
MV-H,CNT-DEC-STUDIO-NAME-001-197,CAN-DEC-STUDIO-NAME-001-197,mccree renamed cole cassidy,HISTORICAL_NAMING_PROBLEM_CASE,VERIFIED_HISTORICAL_CASE,Blizzard Entertainment,McCree,Cole Cassidy,2021-10-26,REASON_UNVERIFIED,,"MV-H-NEWSRC-009","MV-H-NEWSRC-010",independent-market-evidence-reviewer-MV-H,2026-08-10,Official patch notes and independent report confirm the rename and effective date; causal background is not independently established by the official record used.
MV-H,CNT-DEC-STUDIO-NAME-001-198,CAN-DEC-STUDIO-NAME-001-198,gods and monsters renamed immortals fenyx rising,HISTORICAL_NAMING_PROBLEM_CASE,VERIFIED_HISTORICAL_CASE,Ubisoft,Gods & Monsters,Immortals Fenyx Rising,2020-09-10,REASON_UNVERIFIED,,"SRC-DEC-STUDIO-NAME-001-396","MV-H-NEWSRC-018",independent-market-evidence-reviewer-MV-H,2026-08-10,Old and new titles are verified; reports connect Monster Energy opposition but Ubisoft denied that it caused the rename.
MV-H,CNT-DEC-STUDIO-NAME-001-199,CAN-DEC-STUDIO-NAME-001-199,prey for the gods renamed praey for the gods,HISTORICAL_NAMING_PROBLEM_CASE,VERIFIED_HISTORICAL_CASE,No Matter Studios,Prey for the Gods,Praey for the Gods,2017-05-03,CONFIRMED_REASON,The studio avoided the cost of contesting ZeniMax/Bethesda's trademark opposition.,"MV-H-NEWSRC-012","MV-H-NEWSRC-019",independent-market-evidence-reviewer-MV-H,2026-08-10,Platform-hosted primary statement and independent report confirm identity names date and reason.
MV-H,CNT-DEC-STUDIO-NAME-001-200,CAN-DEC-STUDIO-NAME-001-200,facebook paper app naming dispute,HISTORICAL_NAMING_PROBLEM_CASE,VERIFIED_HISTORICAL_CASE,Facebook and FiftyThree,Paper by FiftyThree,Facebook launched Paper while FiftyThree requested a different name,2014-02-03,CONFIRMED_REASON,FiftyThree publicly cited brand confusion and asked Facebook to stop using Paper.,"SRC-DEC-STUDIO-NAME-001-399","MV-H-NEWSRC-015",independent-market-evidence-reviewer-MV-H,2026-08-10,Facebook's launch record establishes its app and date; independent reporting quotes FiftyThree's contemporaneous request.
