"Verification Batch ID","Source ID","Counted Sample ID","Existing or New","URL or Official Record Identifier","Publisher/Institution","Source Origin Group","Source Type","Primary/Official Classification","Accessibility Result","Final URL","Redirect Observed","Identity Result","Claim Support Result","Qualifies as Activity Signal","Independence Pair ID","Reviewer Agent ID","Review Date","Review Time","Final Review Status","Notes"
"MV-B","SRC-DEC-STUDIO-NAME-001-061","CNT-DEC-STUDIO-NAME-001-031","EXISTING","https://www.supergiantgames.com/","Supergiant Games","ORG:www.supergiantgames.com","Official organisation source","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.supergiantgames.com/","NO","PASS","PASS","NO","PAIR-031","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Reviewed existing source; not selected as qualifying evidence because the record-level pair failed one or more mandatory conditions."
"MV-B","SRC-DEC-STUDIO-NAME-001-062","CNT-DEC-STUDIO-NAME-001-031","EXISTING","https://www.supergiantgames.com/games/","supergiant games","ORG:www.supergiantgames.com","Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.supergiantgames.com/games/","NO","PASS","PASS","NO","PAIR-031","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Reviewed but not qualifying as an independent pair member because it is organisation-controlled or shares the subject corporate origin."
"MV-B","SRC-DEC-STUDIO-NAME-001-063","CNT-DEC-STUDIO-NAME-001-032","EXISTING","https://www.klei.com/","Klei Entertainment","ORG:www.klei.com","Official organisation source","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.klei.com/","NO","PASS","PASS","YES","PAIR-032","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Qualifying live evidence member; paired with a distinct official source and reviewed independently from the collector role."
"MV-B","SRC-DEC-STUDIO-NAME-001-064","CNT-DEC-STUDIO-NAME-001-032","EXISTING","https://en.wikipedia.org/wiki/Klei_Entertainment","Wikimedia Foundation / Wikipedia editors","PLATFORM:WIKIPEDIA","Independent reference work","SECONDARY/INDEPENDENT","VERIFIED_ACCESSIBLE","https://en.wikipedia.org/wiki/Klei_Entertainment","NO","PASS","PASS","YES","PAIR-032","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Qualifying live evidence member; paired with a distinct official source and reviewed independently from the collector role."
"MV-B","SRC-DEC-STUDIO-NAME-001-065","CNT-DEC-STUDIO-NAME-001-033","EXISTING","https://subsetgames.com/","Subset Games","ORG:subsetgames.com","Official organisation source","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://subsetgames.com/","NO","PASS","PASS","NO","PAIR-033","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Reviewed existing source; not selected as qualifying evidence because the record-level pair failed one or more mandatory conditions."
"MV-B","SRC-DEC-STUDIO-NAME-001-066","CNT-DEC-STUDIO-NAME-001-033","EXISTING","https://subsetgames.com/games.html","subset games","ORG:subsetgames.com","Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://subsetgames.com/games.html","NO","PASS","PASS","NO","PAIR-033","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Reviewed but not qualifying as an independent pair member because it is organisation-controlled or shares the subject corporate origin."
"MV-B","SRC-DEC-STUDIO-NAME-001-067","CNT-DEC-STUDIO-NAME-001-034","EXISTING","https://motiontwin.com/","Motion Twin","ORG:motiontwin.com","Official organisation source","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://motiontwin.com/","NO","PASS","PASS","YES","PAIR-034","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Qualifying live evidence member; paired with a distinct official source and reviewed independently from the collector role."
"MV-B","SRC-DEC-STUDIO-NAME-001-068","CNT-DEC-STUDIO-NAME-001-034","EXISTING","https://en.wikipedia.org/wiki/Motion_Twin","Wikimedia Foundation / Wikipedia editors","PLATFORM:WIKIPEDIA","Independent reference work","SECONDARY/INDEPENDENT","VERIFIED_ACCESSIBLE","https://en.wikipedia.org/wiki/Motion_Twin","NO","PASS","PASS","YES","PAIR-034","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Qualifying live evidence member; paired with a distinct official source and reviewed independently from the collector role."
"MV-B","SRC-DEC-STUDIO-NAME-001-069","CNT-DEC-STUDIO-NAME-001-035","EXISTING","https://www.megacrit.com/","Mega Crit","ORG:www.megacrit.com","Official organisation source","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.megacrit.com/","NO","PASS","PASS","NO","PAIR-035","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Reviewed existing source; not selected as qualifying evidence because the record-level pair failed one or more mandatory conditions."
"MV-B","SRC-DEC-STUDIO-NAME-001-070","CNT-DEC-STUDIO-NAME-001-035","EXISTING","https://www.megacrit.com/games/","mega crit","ORG:www.megacrit.com","Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.megacrit.com/games/","NO","PASS","PASS","NO","PAIR-035","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Reviewed but not qualifying as an independent pair member because it is organisation-controlled or shares the subject corporate origin."
"MV-B","SRC-DEC-STUDIO-NAME-001-071","CNT-DEC-STUDIO-NAME-001-036","EXISTING","https://www.innersloth.com/","Innersloth","ORG:www.innersloth.com","Official organisation source","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.innersloth.com/","NO","PASS","PASS","NO","PAIR-036","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Reviewed existing source; not selected as qualifying evidence because the record-level pair failed one or more mandatory conditions."
"MV-B","SRC-DEC-STUDIO-NAME-001-072","CNT-DEC-STUDIO-NAME-001-036","EXISTING","https://www.innersloth.com/games/","innersloth","ORG:www.innersloth.com","Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.innersloth.com/games/","NO","PASS","PASS","NO","PAIR-036","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Reviewed but not qualifying as an independent pair member because it is organisation-controlled or shares the subject corporate origin."
"MV-B","SRC-DEC-STUDIO-NAME-001-073","CNT-DEC-STUDIO-NAME-001-037","EXISTING","https://sabotagestudio.com/","Sabotage Studio","ORG:sabotagestudio.com","Official organisation source","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://sabotagestudio.com/","NO","PASS","PASS","NO","PAIR-037","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Reviewed existing source; not selected as qualifying evidence because the record-level pair failed one or more mandatory conditions."
"MV-B","SRC-DEC-STUDIO-NAME-001-074","CNT-DEC-STUDIO-NAME-001-037","EXISTING","https://sabotagestudio.com/games/","sabotage studio","ORG:sabotagestudio.com","Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://sabotagestudio.com/games/","NO","PASS","PASS","NO","PAIR-037","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Reviewed but not qualifying as an independent pair member because it is organisation-controlled or shares the subject corporate origin."
"MV-B","SRC-DEC-STUDIO-NAME-001-075","CNT-DEC-STUDIO-NAME-001-038","EXISTING","https://thunderlotusgames.com/","Thunder Lotus Games","ORG:thunderlotusgames.com","Official organisation source","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://thunderlotusgames.com/","NO","PASS","PASS","YES","PAIR-038","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Qualifying live evidence member; paired with a distinct official source and reviewed independently from the collector role."
"MV-B","SRC-DEC-STUDIO-NAME-001-076","CNT-DEC-STUDIO-NAME-001-038","EXISTING","https://en.wikipedia.org/wiki/Thunder_Lotus_Games","Wikimedia Foundation / Wikipedia editors","PLATFORM:WIKIPEDIA","Independent reference work","SECONDARY/INDEPENDENT","VERIFIED_ACCESSIBLE","https://en.wikipedia.org/wiki/Thunder_Lotus_Games","NO","PASS","PASS","YES","PAIR-038","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Qualifying live evidence member; paired with a distinct official source and reviewed independently from the collector role."
"MV-B","SRC-DEC-STUDIO-NAME-001-077","CNT-DEC-STUDIO-NAME-001-039","EXISTING","https://finji.co/","Finji","ORG:finji.co","Official organisation source","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://finji.co/","NO","PASS","PASS","NO","PAIR-039","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Reviewed existing source; not selected as qualifying evidence because the record-level pair failed one or more mandatory conditions."
"MV-B","SRC-DEC-STUDIO-NAME-001-078","CNT-DEC-STUDIO-NAME-001-039","EXISTING","https://finji.co/games","finji","ORG:finji.co","Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://finji.co/games","NO","PASS","PASS","NO","PAIR-039","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","REVIEWED","Reviewed but not qualifying as an independent pair member because it is organisation-controlled or shares the subject corporate origin."
