Verification Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Current Status,Primary Counted Layer,Region,Existing Source IDs,Required Independent Source Count,Required Primary Source Count,Assigned Reviewer Role,Verification Status,Notes
MV-F,CNT-DEC-STUDIO-NAME-001-151,CAN-DEC-STUDIO-NAME-001-151,adobe,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-301;SRC-DEC-STUDIO-NAME-001-302,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-152,CAN-DEC-STUDIO-NAME-001-152,autodesk,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-303;SRC-DEC-STUDIO-NAME-001-304,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-153,CAN-DEC-STUDIO-NAME-001-153,unity technologies,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-305;SRC-DEC-STUDIO-NAME-001-306,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-154,CAN-DEC-STUDIO-NAME-001-154,epic games,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-307;SRC-DEC-STUDIO-NAME-001-308,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-155,CAN-DEC-STUDIO-NAME-001-155,nvidia,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-309;SRC-DEC-STUDIO-NAME-001-310,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-156,CAN-DEC-STUDIO-NAME-001-156,amd,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-311;SRC-DEC-STUDIO-NAME-001-312,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-157,CAN-DEC-STUDIO-NAME-001-157,intel,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-313;SRC-DEC-STUDIO-NAME-001-314,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-158,CAN-DEC-STUDIO-NAME-001-158,qualcomm,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-315;SRC-DEC-STUDIO-NAME-001-316,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-159,CAN-DEC-STUDIO-NAME-001-159,openai,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-317;SRC-DEC-STUDIO-NAME-001-318,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-160,CAN-DEC-STUDIO-NAME-001-160,anthropic,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-319;SRC-DEC-STUDIO-NAME-001-320,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-161,CAN-DEC-STUDIO-NAME-001-161,midjourney,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-321;SRC-DEC-STUDIO-NAME-001-322,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-162,CAN-DEC-STUDIO-NAME-001-162,runway,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-323;SRC-DEC-STUDIO-NAME-001-324,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-163,CAN-DEC-STUDIO-NAME-001-163,stability ai,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Avrupa,SRC-DEC-STUDIO-NAME-001-325;SRC-DEC-STUDIO-NAME-001-326,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-164,CAN-DEC-STUDIO-NAME-001-164,canva,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Diğer bölgeler,SRC-DEC-STUDIO-NAME-001-327;SRC-DEC-STUDIO-NAME-001-328,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-165,CAN-DEC-STUDIO-NAME-001-165,figma,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-329;SRC-DEC-STUDIO-NAME-001-330,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-166,CAN-DEC-STUDIO-NAME-001-166,blender foundation,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Avrupa,SRC-DEC-STUDIO-NAME-001-331;SRC-DEC-STUDIO-NAME-001-332,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-167,CAN-DEC-STUDIO-NAME-001-167,sidefx,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-333;SRC-DEC-STUDIO-NAME-001-334,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-168,CAN-DEC-STUDIO-NAME-001-168,foundry,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Avrupa,SRC-DEC-STUDIO-NAME-001-335;SRC-DEC-STUDIO-NAME-001-336,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-169,CAN-DEC-STUDIO-NAME-001-169,blackmagic design,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Diğer bölgeler,SRC-DEC-STUDIO-NAME-001-337;SRC-DEC-STUDIO-NAME-001-338,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-170,CAN-DEC-STUDIO-NAME-001-170,wacom,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Doğu Asya,SRC-DEC-STUDIO-NAME-001-339;SRC-DEC-STUDIO-NAME-001-340,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-171,CAN-DEC-STUDIO-NAME-001-171,huion,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Doğu Asya,SRC-DEC-STUDIO-NAME-001-341;SRC-DEC-STUDIO-NAME-001-342,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-172,CAN-DEC-STUDIO-NAME-001-172,maxon,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Avrupa,SRC-DEC-STUDIO-NAME-001-343;SRC-DEC-STUDIO-NAME-001-344,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-173,CAN-DEC-STUDIO-NAME-001-173,ableton,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Avrupa,SRC-DEC-STUDIO-NAME-001-345;SRC-DEC-STUDIO-NAME-001-346,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-174,CAN-DEC-STUDIO-NAME-001-174,native instruments,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Avrupa,SRC-DEC-STUDIO-NAME-001-347;SRC-DEC-STUDIO-NAME-001-348,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-175,CAN-DEC-STUDIO-NAME-001-175,akai professional,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Doğu Asya,SRC-DEC-STUDIO-NAME-001-349;SRC-DEC-STUDIO-NAME-001-350,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-176,CAN-DEC-STUDIO-NAME-001-176,samsung,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Doğu Asya,SRC-DEC-STUDIO-NAME-001-351;SRC-DEC-STUDIO-NAME-001-352,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-177,CAN-DEC-STUDIO-NAME-001-177,huawei,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Doğu Asya,SRC-DEC-STUDIO-NAME-001-353;SRC-DEC-STUDIO-NAME-001-354,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-178,CAN-DEC-STUDIO-NAME-001-178,ar elik,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Türkiye ve yakın bölge,SRC-DEC-STUDIO-NAME-001-355;SRC-DEC-STUDIO-NAME-001-356,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-179,CAN-DEC-STUDIO-NAME-001-179,trendyol,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Türkiye ve yakın bölge,SRC-DEC-STUDIO-NAME-001-357;SRC-DEC-STUDIO-NAME-001-358,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-F,CNT-DEC-STUDIO-NAME-001-180,CAN-DEC-STUDIO-NAME-001-180,insider,STATUS_UNCERTAIN,Teknoloji/yaratıcı üretim markaları,Türkiye ve yakın bölge,SRC-DEC-STUDIO-NAME-001-359;SRC-DEC-STUDIO-NAME-001-360,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
