Verification Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Current Status,Primary Counted Layer,Region,Existing Source IDs,Required Independent Source Count,Required Primary Source Count,Assigned Reviewer Role,Verification Status,Notes
MV-E,CNT-DEC-STUDIO-NAME-001-121,CAN-DEC-STUDIO-NAME-001-121,io interactive,STATUS_UNCERTAIN,PC/konsol stüdyoları,Avrupa,SRC-DEC-STUDIO-NAME-001-241;SRC-DEC-STUDIO-NAME-001-242,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-E,CNT-DEC-STUDIO-NAME-001-122,CAN-DEC-STUDIO-NAME-001-122,mercurysteam,STATUS_UNCERTAIN,PC/konsol stüdyoları,Avrupa,SRC-DEC-STUDIO-NAME-001-243;SRC-DEC-STUDIO-NAME-001-244,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-E,CNT-DEC-STUDIO-NAME-001-123,CAN-DEC-STUDIO-NAME-001-123,taleworlds entertainment,STATUS_UNCERTAIN,PC/konsol stüdyoları,Türkiye ve yakın bölge,SRC-DEC-STUDIO-NAME-001-245;SRC-DEC-STUDIO-NAME-001-246,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-E,CNT-DEC-STUDIO-NAME-001-124,CAN-DEC-STUDIO-NAME-001-124,game science,STATUS_UNCERTAIN,PC/konsol stüdyoları,Doğu Asya,SRC-DEC-STUDIO-NAME-001-247;SRC-DEC-STUDIO-NAME-001-248,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-E,CNT-DEC-STUDIO-NAME-001-125,CAN-DEC-STUDIO-NAME-001-125,neowiz,STATUS_UNCERTAIN,PC/konsol stüdyoları,Doğu Asya,SRC-DEC-STUDIO-NAME-001-249;SRC-DEC-STUDIO-NAME-001-250,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-E,CNT-DEC-STUDIO-NAME-001-126,CAN-DEC-STUDIO-NAME-001-126,creative assembly,STATUS_UNCERTAIN,Strateji/MMO üreticileri,Avrupa,SRC-DEC-STUDIO-NAME-001-251;SRC-DEC-STUDIO-NAME-001-252,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-E,CNT-DEC-STUDIO-NAME-001-127,CAN-DEC-STUDIO-NAME-001-127,relic entertainment,STATUS_UNCERTAIN,Strateji/MMO üreticileri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-253;SRC-DEC-STUDIO-NAME-001-254,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-E,CNT-DEC-STUDIO-NAME-001-128,CAN-DEC-STUDIO-NAME-001-128,firaxis games,STATUS_UNCERTAIN,Strateji/MMO üreticileri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-255;SRC-DEC-STUDIO-NAME-001-256,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-E,CNT-DEC-STUDIO-NAME-001-129,CAN-DEC-STUDIO-NAME-001-129,amplitude studios,STATUS_UNCERTAIN,Strateji/MMO üreticileri,Avrupa,SRC-DEC-STUDIO-NAME-001-257;SRC-DEC-STUDIO-NAME-001-258,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-E,CNT-DEC-STUDIO-NAME-001-130,CAN-DEC-STUDIO-NAME-001-130,slitherine,STATUS_UNCERTAIN,Strateji/MMO üreticileri,Avrupa,SRC-DEC-STUDIO-NAME-001-259;SRC-DEC-STUDIO-NAME-001-260,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-E,CNT-DEC-STUDIO-NAME-001-131,CAN-DEC-STUDIO-NAME-001-131,matrix games,STATUS_UNCERTAIN,Strateji/MMO üreticileri,Avrupa,SRC-DEC-STUDIO-NAME-001-261;SRC-DEC-STUDIO-NAME-001-262,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
