Batch ID,Source ID,Counted Sample ID,Existing or New,URL / Official Record ID,Publisher/Institution,Source Origin Group,Source Type,Primary/Official Classification,Accessibility Result,Final URL,Identity Result,Claim Support Result,Qualifies as Evidence,Independence Pair ID,Reviewer Agent ID,Review Date,Review Time,Final Review Status,Notes
MV-H,SRC-DEC-STUDIO-NAME-001-381,CNT-DEC-STUDIO-NAME-001-191,Existing,https://www.zenimax.com/legal_information,ZeniMax Media,ORG:zenimax.com,Corporate legal page,PRIMARY/OFFICIAL,ACCESS_BLOCKED,https://www.zenimax.com/legal_information,PASS,FAIL,NO,PAIR-191,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,HTTP 403 and page is not case-specific.
MV-H,SRC-DEC-STUDIO-NAME-001-382,CNT-DEC-STUDIO-NAME-001-191,Existing,https://bethesda.net/,Bethesda Softworks,ORG:bethesda.net,Corporate homepage,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://bethesda.net/tr-TR,PASS,FAIL,NO,PAIR-191,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,Accessible corporate homepage does not support the Scrolls dispute claim.
MV-H,SRC-DEC-STUDIO-NAME-001-383,CNT-DEC-STUDIO-NAME-001-192,Existing,https://www.king.com/,King,ORG:king.com,Corporate homepage,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.king.com/,PASS,FAIL,NO,PAIR-192,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,Homepage does not support the historical trademark event.
MV-H,SRC-DEC-STUDIO-NAME-001-384,CNT-DEC-STUDIO-NAME-001-192,Existing,https://www.uspto.gov/trademarks,United States Patent and Trademark Office,GOV:uspto.gov,Government landing page,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.uspto.gov/trademarks,PASS,FAIL,NO,PAIR-192,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,Generic landing page is not an official record for the case.
MV-H,SRC-DEC-STUDIO-NAME-001-385,CNT-DEC-STUDIO-NAME-001-193,Existing,https://projectzomboid.com/blog/,The Indie Stone,ORG:projectzomboid.com,Official blog index,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://projectzomboid.com/blog/,PASS,FAIL,NO,PAIR-193,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,Index does not itself support the impersonation warning.
MV-H,SRC-DEC-STUDIO-NAME-001-386,CNT-DEC-STUDIO-NAME-001-193,Existing,https://theindiestone.com/,The Indie Stone,ORG:theindiestone.com,Corporate site,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://theindiestone.com/forums/,PASS,FAIL,NO,PAIR-193,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,Redirected forum landing page does not support the warning.
MV-H,SRC-DEC-STUDIO-NAME-001-387,CNT-DEC-STUDIO-NAME-001-194,Existing,https://www.minecraft.net/en-us/article/callers-bane,Mojang,ORG:minecraft.net,Official article,PRIMARY/OFFICIAL,BROKEN_LINK,https://www.minecraft.net/en-us/article/callers-bane,PASS,FAIL,NO,PAIR-194,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,HTTP 404.
MV-H,SRC-DEC-STUDIO-NAME-001-388,CNT-DEC-STUDIO-NAME-001-194,Existing,https://www.callersbane.com/,Mojang,ORG:callersbane.com,Official site,PRIMARY/OFFICIAL,BROKEN_LINK,https://www.callersbane.com/,RECHECK_REQUIRED,FAIL,NO,PAIR-194,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,Connection failed and domain content could not be obtained.
MV-H,SRC-DEC-STUDIO-NAME-001-389,CNT-DEC-STUDIO-NAME-001-195,Existing,https://3drealms.com/news/ion-maiden-is-now-ion-fury/,3D Realms,ORG:3drealms.com,Official announcement,PRIMARY/OFFICIAL,BROKEN_LINK,https://3drealms.com/news/ion-maiden-is-now-ion-fury/,PASS,FAIL,NO,PAIR-195,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,HTTP 404.
MV-H,SRC-DEC-STUDIO-NAME-001-390,CNT-DEC-STUDIO-NAME-001-195,Existing,https://store.steampowered.com/app/562860/Ion_Fury/,Valve Steam,PLATFORM:steampowered.com,Platform product record,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://store.steampowered.com/app/562860/Ion_Fury/,PASS,PASS,YES,PAIR-195-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Supports current title and publisher identity but not by itself the dated change.
