Verification Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Current Status,Primary Counted Layer,Region,Existing Source IDs,Required Independent Source Count,Required Primary Source Count,Assigned Reviewer Role,Verification Status,Notes,Historical Case Type,Former Name,Current Name or Resolution,Event Date,Reason Classification,Existing Case Source IDs
MV-H,CNT-DEC-STUDIO-NAME-001-191,CAN-DEC-STUDIO-NAME-001-191,zenimax scrolls trademark dispute,HISTORICAL_NAMING_PROBLEM_CASE,Marka sorunu örnekleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-381;SRC-DEC-STUDIO-NAME-001-382,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_NAMING_PROBLEM_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-381;SRC-DEC-STUDIO-NAME-001-382
MV-H,CNT-DEC-STUDIO-NAME-001-192,CAN-DEC-STUDIO-NAME-001-192,king candy trademark controversy,HISTORICAL_NAMING_PROBLEM_CASE,Marka sorunu örnekleri,Avrupa,SRC-DEC-STUDIO-NAME-001-383;SRC-DEC-STUDIO-NAME-001-384,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_NAMING_PROBLEM_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-383;SRC-DEC-STUDIO-NAME-001-384
MV-H,CNT-DEC-STUDIO-NAME-001-193,CAN-DEC-STUDIO-NAME-001-193,the indie stone project zomboid impersonation warning,HISTORICAL_NAMING_PROBLEM_CASE,Marka sorunu örnekleri,Avrupa,SRC-DEC-STUDIO-NAME-001-385;SRC-DEC-STUDIO-NAME-001-386,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_NAMING_PROBLEM_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-385;SRC-DEC-STUDIO-NAME-001-386
MV-H,CNT-DEC-STUDIO-NAME-001-194,CAN-DEC-STUDIO-NAME-001-194,mojang scrolls renamed caller s bane,HISTORICAL_NAMING_PROBLEM_CASE,Marka sorunu örnekleri,Avrupa,SRC-DEC-STUDIO-NAME-001-387;SRC-DEC-STUDIO-NAME-001-388,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_NAMING_PROBLEM_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-387;SRC-DEC-STUDIO-NAME-001-388
MV-H,CNT-DEC-STUDIO-NAME-001-195,CAN-DEC-STUDIO-NAME-001-195,ion fury title change,HISTORICAL_NAMING_PROBLEM_CASE,Marka sorunu örnekleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-389;SRC-DEC-STUDIO-NAME-001-390,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_NAMING_PROBLEM_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-389;SRC-DEC-STUDIO-NAME-001-390
MV-H,CNT-DEC-STUDIO-NAME-001-196,CAN-DEC-STUDIO-NAME-001-196,fifa and ea sports naming separation,HISTORICAL_NAMING_PROBLEM_CASE,Marka sorunu örnekleri,Avrupa,SRC-DEC-STUDIO-NAME-001-391;SRC-DEC-STUDIO-NAME-001-392,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_NAMING_PROBLEM_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-391;SRC-DEC-STUDIO-NAME-001-392
MV-H,CNT-DEC-STUDIO-NAME-001-197,CAN-DEC-STUDIO-NAME-001-197,mccree renamed cole cassidy,HISTORICAL_NAMING_PROBLEM_CASE,Marka sorunu örnekleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-393;SRC-DEC-STUDIO-NAME-001-394,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_NAMING_PROBLEM_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-393;SRC-DEC-STUDIO-NAME-001-394
MV-H,CNT-DEC-STUDIO-NAME-001-198,CAN-DEC-STUDIO-NAME-001-198,gods and monsters renamed immortals fenyx rising,HISTORICAL_NAMING_PROBLEM_CASE,Marka sorunu örnekleri,Avrupa,SRC-DEC-STUDIO-NAME-001-395;SRC-DEC-STUDIO-NAME-001-396,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_NAMING_PROBLEM_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-395;SRC-DEC-STUDIO-NAME-001-396
MV-H,CNT-DEC-STUDIO-NAME-001-199,CAN-DEC-STUDIO-NAME-001-199,prey for the gods renamed praey for the gods,HISTORICAL_NAMING_PROBLEM_CASE,Marka sorunu örnekleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-397;SRC-DEC-STUDIO-NAME-001-398,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_NAMING_PROBLEM_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-397;SRC-DEC-STUDIO-NAME-001-398
MV-H,CNT-DEC-STUDIO-NAME-001-200,CAN-DEC-STUDIO-NAME-001-200,facebook paper app naming dispute,HISTORICAL_NAMING_PROBLEM_CASE,Marka sorunu örnekleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-399;SRC-DEC-STUDIO-NAME-001-400,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_NAMING_PROBLEM_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-399;SRC-DEC-STUDIO-NAME-001-400
