Batch ID,Source ID,Counted Sample ID,Existing or New,URL / Official Record ID,Publisher/Institution,Source Origin Group,Source Type,Primary/Official Classification,Accessibility Result,Final URL,Identity Result,Claim Support Result,Qualifies as Evidence,Independence Pair ID,Reviewer Agent ID,Review Date,Review Time,Final Review Status,Notes
MV-E,SRC-DEC-STUDIO-NAME-001-241,CNT-DEC-STUDIO-NAME-001-121,Existing,https://ioi.dk/,IO Interactive,CORPORATE:CAN-DEC-STUDIO-NAME-001-121,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://ioi.dk/,PASS,PASS,YES,PAIR-MV-E-121,independent-market-evidence-reviewer-mv-e,2026-08-10,12:25:00+03:00,REVIEWED,Live accessible; identity and current public activity supported. Same corporate origin as pair member; not an independent pair.
MV-E,SRC-DEC-STUDIO-NAME-001-242,CNT-DEC-STUDIO-NAME-001-121,Existing,https://ioi.dk/games,io interactive official/controlled property,CORPORATE:CAN-DEC-STUDIO-NAME-001-121,Official/controlled product or organisation page,PRIMARY/OFFICIAL,BROKEN_LINK,https://ioi.dk/games,FAIL,FAIL,NO,PAIR-MV-E-121,independent-market-evidence-reviewer-mv-e,2026-08-10,12:25:00+03:00,REJECTED,Live request returned HTTP 404.
MV-E,SRC-DEC-STUDIO-NAME-001-243,CNT-DEC-STUDIO-NAME-001-122,Existing,https://www.mercurysteam.com/,MercurySteam,CORPORATE:CAN-DEC-STUDIO-NAME-001-122,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.mercurysteam.com/,PASS,PASS,YES,PAIR-MV-E-122,independent-market-evidence-reviewer-mv-e,2026-08-10,12:25:00+03:00,REVIEWED,Live accessible; identity and current public activity supported. Same corporate origin as pair member; not an independent pair.
MV-E,SRC-DEC-STUDIO-NAME-001-244,CNT-DEC-STUDIO-NAME-001-122,Existing,https://www.mercurysteam.com/games/,mercurysteam official/controlled property,CORPORATE:CAN-DEC-STUDIO-NAME-001-122,Official/controlled product or organisation page,PRIMARY/OFFICIAL,BROKEN_LINK,https://www.mercurysteam.com/games,FAIL,FAIL,NO,PAIR-MV-E-122,independent-market-evidence-reviewer-mv-e,2026-08-10,12:25:00+03:00,REJECTED,Live request returned HTTP 404.
MV-E,SRC-DEC-STUDIO-NAME-001-245,CNT-DEC-STUDIO-NAME-001-123,Existing,https://www.taleworlds.com/,TaleWorlds Entertainment,CORPORATE:CAN-DEC-STUDIO-NAME-001-123,Official organisation source,PRIMARY/OFFICIAL,ACCESS_BLOCKED,https://www.taleworlds.com/,FAIL,FAIL,NO,PAIR-MV-E-123,independent-market-evidence-reviewer-mv-e,2026-08-10,12:25:00+03:00,NEEDS_RECHECK,Live request blocked (HTTP 403/429); cannot qualify.
MV-E,SRC-DEC-STUDIO-NAME-001-246,CNT-DEC-STUDIO-NAME-001-123,Existing,https://www.taleworlds.com/en/Games,taleworlds entertainment official/controlled property,CORPORATE:CAN-DEC-STUDIO-NAME-001-123,Official/controlled product or organisation page,PRIMARY/OFFICIAL,ACCESS_BLOCKED,https://www.taleworlds.com/en/Games,FAIL,FAIL,NO,PAIR-MV-E-123,independent-market-evidence-reviewer-mv-e,2026-08-10,12:25:00+03:00,NEEDS_RECHECK,Live request blocked (HTTP 403/429); cannot qualify.
MV-E,SRC-DEC-STUDIO-NAME-001-247,CNT-DEC-STUDIO-NAME-001-124,Existing,https://www.gamesci.com.cn/,Game Science,CORPORATE:CAN-DEC-STUDIO-NAME-001-124,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://gamesci.cn/,PASS,PASS,YES,PAIR-MV-E-124,independent-market-evidence-reviewer-mv-e,2026-08-10,12:25:00+03:00,REVIEWED,Live accessible; identity and current public activity supported. Same corporate origin as pair member; not an independent pair.
MV-E,SRC-DEC-STUDIO-NAME-001-248,CNT-DEC-STUDIO-NAME-001-124,Existing,https://www.heishenhua.com/,game science official/controlled property,CORPORATE:CAN-DEC-STUDIO-NAME-001-124,Official/controlled product or organisation page,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.heishenhua.com/,PASS,FAIL,NO,PAIR-MV-E-124,independent-market-evidence-reviewer-mv-e,2026-08-10,12:25:00+03:00,REJECTED,Accessible page did not support identity/current-activity claim.
MV-E,SRC-DEC-STUDIO-NAME-001-249,CNT-DEC-STUDIO-NAME-001-125,Existing,https://www.neowiz.com/,Neowiz,CORPORATE:CAN-DEC-STUDIO-NAME-001-125,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://www.neowiz.com/kr,PASS,PASS,YES,PAIR-MV-E-125,independent-market-evidence-reviewer-mv-e,2026-08-10,12:25:00+03:00,REVIEWED,Live accessible; identity and current public activity supported. Same corporate origin as pair member; not an independent pair.
MV-E,SRC-DEC-STUDIO-NAME-001-250,CNT-DEC-STUDIO-NAME-001-125,Existing,https://www.neowiz.com/en/game,neowiz official/controlled property,CORPORATE:CAN-DEC-STUDIO-NAME-001-125,Official/controlled product or organisation page,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.neowiz.com/en/game,PASS,PASS,YES,PAIR-MV-E-125,independent-market-evidence-reviewer-mv-e,2026-08-10,12:25:00+03:00,REVIEWED,Live accessible; identity and current public activity supported. Same corporate origin as pair member; not an independent pair.
