Verification Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Current Status,Primary Counted Layer,Region,Existing Source IDs,Required Independent Source Count,Required Primary Source Count,Assigned Reviewer Role,Verification Status,Notes
MV-A,CNT-DEC-STUDIO-NAME-001-001,CAN-DEC-STUDIO-NAME-001-001,koei tecmo,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Doğu Asya,SRC-DEC-STUDIO-NAME-001-001;SRC-DEC-STUDIO-NAME-001-002,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-002,CAN-DEC-STUDIO-NAME-001-002,take two interactive,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-003;SRC-DEC-STUDIO-NAME-001-004,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-003,CAN-DEC-STUDIO-NAME-001-003,thq nordic,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Avrupa,SRC-DEC-STUDIO-NAME-001-005;SRC-DEC-STUDIO-NAME-001-006,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-004,CAN-DEC-STUDIO-NAME-001-004,bandai namco entertainment,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Doğu Asya,SRC-DEC-STUDIO-NAME-001-007;SRC-DEC-STUDIO-NAME-001-008,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-005,CAN-DEC-STUDIO-NAME-001-005,capcom,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Doğu Asya,SRC-DEC-STUDIO-NAME-001-009;SRC-DEC-STUDIO-NAME-001-010,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-006,CAN-DEC-STUDIO-NAME-001-006,sega,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Doğu Asya,SRC-DEC-STUDIO-NAME-001-011;SRC-DEC-STUDIO-NAME-001-012,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-007,CAN-DEC-STUDIO-NAME-001-007,square enix,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Doğu Asya,SRC-DEC-STUDIO-NAME-001-013;SRC-DEC-STUDIO-NAME-001-014,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-008,CAN-DEC-STUDIO-NAME-001-008,konami digital entertainment,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Doğu Asya,SRC-DEC-STUDIO-NAME-001-015;SRC-DEC-STUDIO-NAME-001-016,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-009,CAN-DEC-STUDIO-NAME-001-009,nintendo,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Doğu Asya,SRC-DEC-STUDIO-NAME-001-017;SRC-DEC-STUDIO-NAME-001-018,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-010,CAN-DEC-STUDIO-NAME-001-010,sony interactive entertainment,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Doğu Asya,SRC-DEC-STUDIO-NAME-001-019;SRC-DEC-STUDIO-NAME-001-020,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-011,CAN-DEC-STUDIO-NAME-001-011,xbox game studios,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-021;SRC-DEC-STUDIO-NAME-001-022,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-012,CAN-DEC-STUDIO-NAME-001-012,activision,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-023;SRC-DEC-STUDIO-NAME-001-024,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-013,CAN-DEC-STUDIO-NAME-001-013,tripwire interactive,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-025;SRC-DEC-STUDIO-NAME-001-026,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-014,CAN-DEC-STUDIO-NAME-001-014,ci games,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Avrupa,SRC-DEC-STUDIO-NAME-001-027;SRC-DEC-STUDIO-NAME-001-028,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-015,CAN-DEC-STUDIO-NAME-001-015,embracer group,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Avrupa,SRC-DEC-STUDIO-NAME-001-029;SRC-DEC-STUDIO-NAME-001-030,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-016,CAN-DEC-STUDIO-NAME-001-016,paradox interactive,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Avrupa,SRC-DEC-STUDIO-NAME-001-031;SRC-DEC-STUDIO-NAME-001-032,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-017,CAN-DEC-STUDIO-NAME-001-017,focus entertainment,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Avrupa,SRC-DEC-STUDIO-NAME-001-033;SRC-DEC-STUDIO-NAME-001-034,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-018,CAN-DEC-STUDIO-NAME-001-018,nacon,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Avrupa,SRC-DEC-STUDIO-NAME-001-035;SRC-DEC-STUDIO-NAME-001-036,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-019,CAN-DEC-STUDIO-NAME-001-019,hooded horse,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-037;SRC-DEC-STUDIO-NAME-001-038,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-020,CAN-DEC-STUDIO-NAME-001-020,netease games,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Doğu Asya,SRC-DEC-STUDIO-NAME-001-039;SRC-DEC-STUDIO-NAME-001-040,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-021,CAN-DEC-STUDIO-NAME-001-021,tencent games,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Doğu Asya,SRC-DEC-STUDIO-NAME-001-041;SRC-DEC-STUDIO-NAME-001-042,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-022,CAN-DEC-STUDIO-NAME-001-022,krafton,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Doğu Asya,SRC-DEC-STUDIO-NAME-001-043;SRC-DEC-STUDIO-NAME-001-044,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-023,CAN-DEC-STUDIO-NAME-001-023,ncsoft,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Doğu Asya,SRC-DEC-STUDIO-NAME-001-045;SRC-DEC-STUDIO-NAME-001-046,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-024,CAN-DEC-STUDIO-NAME-001-024,nexon,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Doğu Asya,SRC-DEC-STUDIO-NAME-001-047;SRC-DEC-STUDIO-NAME-001-048,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-025,CAN-DEC-STUDIO-NAME-001-025,pearl abyss,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Doğu Asya,SRC-DEC-STUDIO-NAME-001-049;SRC-DEC-STUDIO-NAME-001-050,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-026,CAN-DEC-STUDIO-NAME-001-026,devolver digital,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-051;SRC-DEC-STUDIO-NAME-001-052,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-027,CAN-DEC-STUDIO-NAME-001-027,annapurna interactive,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-053;SRC-DEC-STUDIO-NAME-001-054,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-028,CAN-DEC-STUDIO-NAME-001-028,team17,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Avrupa,SRC-DEC-STUDIO-NAME-001-055;SRC-DEC-STUDIO-NAME-001-056,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
MV-A,CNT-DEC-STUDIO-NAME-001-029,CAN-DEC-STUDIO-NAME-001-029,raw fury,STATUS_UNCERTAIN,Büyük uluslararası yayıncılar,Avrupa,SRC-DEC-STUDIO-NAME-001-057;SRC-DEC-STUDIO-NAME-001-058,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.
