"Verification Batch ID","Counted Sample ID","Canonical Entity ID","Normalized Entity Name","Original Status","Verification Result","Qualifying Source 1 ID","Qualifying Source 2 ID","Primary Source Requirement","Independent Publisher Requirement","Independent Origin Requirement","Identity Check","Claim Support Check","Reviewer Agent ID","Review Date","Review Time","Confidence","Notes"
"MV-B","CNT-DEC-STUDIO-NAME-001-031","CAN-DEC-STUDIO-NAME-001-031","supergiant games","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-032","CAN-DEC-STUDIO-NAME-001-032","klei entertainment","STATUS_UNCERTAIN","VERIFIED_ACTIVE","SRC-DEC-STUDIO-NAME-001-063","SRC-DEC-STUDIO-NAME-001-064","PASS","PASS","PASS","PASS","PASS","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","HIGH","Live review confirmed an accessible official organisation source plus an accessible independent Wikimedia reference from distinct publisher and origin groups."
"MV-B","CNT-DEC-STUDIO-NAME-001-033","CAN-DEC-STUDIO-NAME-001-033","subset games","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-034","CAN-DEC-STUDIO-NAME-001-034","motion twin","STATUS_UNCERTAIN","VERIFIED_ACTIVE","SRC-DEC-STUDIO-NAME-001-067","SRC-DEC-STUDIO-NAME-001-068","PASS","PASS","PASS","PASS","PASS","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","HIGH","Live review confirmed an accessible official organisation source plus an accessible independent Wikimedia reference from distinct publisher and origin groups."
"MV-B","CNT-DEC-STUDIO-NAME-001-035","CAN-DEC-STUDIO-NAME-001-035","mega crit","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-036","CAN-DEC-STUDIO-NAME-001-036","innersloth","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-037","CAN-DEC-STUDIO-NAME-001-037","sabotage studio","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-038","CAN-DEC-STUDIO-NAME-001-038","thunder lotus games","STATUS_UNCERTAIN","VERIFIED_ACTIVE","SRC-DEC-STUDIO-NAME-001-075","SRC-DEC-STUDIO-NAME-001-076","PASS","PASS","PASS","PASS","PASS","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","HIGH","Live review confirmed an accessible official organisation source plus an accessible independent Wikimedia reference from distinct publisher and origin groups."
"MV-B","CNT-DEC-STUDIO-NAME-001-039","CAN-DEC-STUDIO-NAME-001-039","finji","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-040","CAN-DEC-STUDIO-NAME-001-040","the game bakers","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
