Verification Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Current Status,Primary Counted Layer,Region,Existing Source IDs,Required Independent Source Count,Required Primary Source Count,Assigned Reviewer Role,Verification Status,Notes,Historical Case Type,Former Name,Current Name or Resolution,Event Date,Reason Classification,Existing Case Source IDs
MV-G,CNT-DEC-STUDIO-NAME-001-181,CAN-DEC-STUDIO-NAME-001-181,meta platforms rebrand,HISTORICAL_REBRAND_CASE,Başarılı rebrand örnekleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-361;SRC-DEC-STUDIO-NAME-001-362,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_REBRAND_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-361;SRC-DEC-STUDIO-NAME-001-362
MV-G,CNT-DEC-STUDIO-NAME-001-182,CAN-DEC-STUDIO-NAME-001-182,alphabet corporate restructuring,HISTORICAL_REBRAND_CASE,Başarılı rebrand örnekleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-363;SRC-DEC-STUDIO-NAME-001-364,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_REBRAND_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-363;SRC-DEC-STUDIO-NAME-001-364
MV-G,CNT-DEC-STUDIO-NAME-001-183,CAN-DEC-STUDIO-NAME-001-183,block corporate rebrand,HISTORICAL_REBRAND_CASE,Başarılı rebrand örnekleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-365;SRC-DEC-STUDIO-NAME-001-366,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_REBRAND_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-365;SRC-DEC-STUDIO-NAME-001-366
MV-G,CNT-DEC-STUDIO-NAME-001-184,CAN-DEC-STUDIO-NAME-001-184,plaion rebrand from koch media,HISTORICAL_REBRAND_CASE,Başarılı rebrand örnekleri,Avrupa,SRC-DEC-STUDIO-NAME-001-367;SRC-DEC-STUDIO-NAME-001-368,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_REBRAND_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-367;SRC-DEC-STUDIO-NAME-001-368
MV-G,CNT-DEC-STUDIO-NAME-001-185,CAN-DEC-STUDIO-NAME-001-185,behaviour interactive spelling rebrand,HISTORICAL_REBRAND_CASE,Başarılı rebrand örnekleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-369;SRC-DEC-STUDIO-NAME-001-370,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_REBRAND_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-369;SRC-DEC-STUDIO-NAME-001-370
MV-G,CNT-DEC-STUDIO-NAME-001-186,CAN-DEC-STUDIO-NAME-001-186,dontnod to don t nod rebrand,HISTORICAL_REBRAND_CASE,Başarılı rebrand örnekleri,Avrupa,SRC-DEC-STUDIO-NAME-001-371;SRC-DEC-STUDIO-NAME-001-372,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_REBRAND_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-371;SRC-DEC-STUDIO-NAME-001-372
MV-G,CNT-DEC-STUDIO-NAME-001-187,CAN-DEC-STUDIO-NAME-001-187,daybreak game company rebrand,HISTORICAL_REBRAND_CASE,Başarılı rebrand örnekleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-373;SRC-DEC-STUDIO-NAME-001-374,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_REBRAND_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-373;SRC-DEC-STUDIO-NAME-001-374
MV-G,CNT-DEC-STUDIO-NAME-001-188,CAN-DEC-STUDIO-NAME-001-188,x corp twitter rebrand,HISTORICAL_REBRAND_CASE,Başarılı rebrand örnekleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-375;SRC-DEC-STUDIO-NAME-001-376,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_REBRAND_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-375;SRC-DEC-STUDIO-NAME-001-376
MV-G,CNT-DEC-STUDIO-NAME-001-189,CAN-DEC-STUDIO-NAME-001-189,ziff davis rebrand from j2 global,HISTORICAL_REBRAND_CASE,Başarılı rebrand örnekleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-377;SRC-DEC-STUDIO-NAME-001-378,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_REBRAND_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-377;SRC-DEC-STUDIO-NAME-001-378
MV-G,CNT-DEC-STUDIO-NAME-001-190,CAN-DEC-STUDIO-NAME-001-190,paramount global rebrand,HISTORICAL_REBRAND_CASE,Başarılı rebrand örnekleri,Kuzey Amerika,SRC-DEC-STUDIO-NAME-001-379;SRC-DEC-STUDIO-NAME-001-380,2,1,quality-assurance-director,NOT_STARTED,Existing evidence requires live independent verification; no status change in partition setup.,HISTORICAL_REBRAND_CASE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,SRC-DEC-STUDIO-NAME-001-379;SRC-DEC-STUDIO-NAME-001-380
