Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Final Verification Status,Qualifying Reviewed Source IDs,Qualifying Source Count,Distinct Publisher Count,Distinct Source Origin Group Count,Primary/Official Qualifying Count,Collector Agent ID,Reviewer Agent ID,Review Date,Notes
MV-F,CNT-DEC-STUDIO-NAME-001-151,CAN-DEC-STUDIO-NAME-001-151,adobe,STATUS_UNCERTAIN,,0,0,0,0,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-152,CAN-DEC-STUDIO-NAME-001-152,autodesk,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-304,1,1,1,1,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-153,CAN-DEC-STUDIO-NAME-001-153,unity technologies,VERIFIED_ACTIVE,SRC-DEC-STUDIO-NAME-001-305;SRC-DEC-STUDIO-NAME-001-306,2,2,2,1,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Two accessible REVIEWED sources pass identity/claim checks, have distinct publishers and origin groups, and include one PRIMARY/OFFICIAL source."
MV-F,CNT-DEC-STUDIO-NAME-001-154,CAN-DEC-STUDIO-NAME-001-154,epic games,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-308,1,1,1,1,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-155,CAN-DEC-STUDIO-NAME-001-155,nvidia,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-309;SRC-DEC-STUDIO-NAME-001-310,2,1,1,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-156,CAN-DEC-STUDIO-NAME-001-156,amd,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-311;SRC-DEC-STUDIO-NAME-001-312,2,1,1,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-157,CAN-DEC-STUDIO-NAME-001-157,intel,STATUS_UNCERTAIN,,0,0,0,0,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-158,CAN-DEC-STUDIO-NAME-001-158,qualcomm,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-315;SRC-DEC-STUDIO-NAME-001-316,2,1,1,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-159,CAN-DEC-STUDIO-NAME-001-159,openai,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-318,1,1,1,0,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-160,CAN-DEC-STUDIO-NAME-001-160,anthropic,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-319;SRC-DEC-STUDIO-NAME-001-320,2,1,1,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
