"Verification Batch ID","Source ID","Counted Sample ID","Existing or New","URL or Official Record Identifier","Publisher/Institution","Source Origin Group","Source Type","Primary/Official Classification","Accessibility Result","Final URL","Redirect Observed","Identity Result","Claim Support Result","Qualifies as Activity Signal","Independence Pair ID","Reviewer Agent ID","Review Date","Review Time","Final Review Status","Notes"
"MV-A","SRC-DEC-STUDIO-NAME-001-001","CNT-DEC-STUDIO-NAME-001-001","EXISTING","https://www.koeitecmo.co.jp/e/","Koei Tecmo","ORG:www.koeitecmo.co.jp","Official organisation source","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.koeitecmo.co.jp/e/","NO","PASS","PASS","YES","MV-A-PAIR-001","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","REVIEWED","Live page identity/title checked: KOEI TECMO HOLDINGS CO., LTD."
"MV-A","SRC-DEC-STUDIO-NAME-001-002","CNT-DEC-STUDIO-NAME-001-001","EXISTING","https://www.ea.com/games","www.ea.com","ORG:www.ea.com","Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.ea.com/games","NO","FAIL","FAIL","NO","MV-A-PAIR-001","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","REJECTED","Live page belongs to a different entity; existing Source ID retained and rejected."
"MV-A","SRC-DEC-STUDIO-NAME-001-003","CNT-DEC-STUDIO-NAME-001-002","EXISTING","https://www.take2games.com/","Take-Two Interactive","ORG:www.take2games.com","Official organisation source","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.take2games.com/","NO","PASS","PASS","YES","MV-A-PAIR-002","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","REVIEWED","Live page identity/title checked: Leading Game Publisher | Take-Two Interactive Software, Inc."
"MV-A","SRC-DEC-STUDIO-NAME-001-004","CNT-DEC-STUDIO-NAME-001-002","EXISTING","https://www.take2games.com/ir","Take-Two Interactive","ORG:www.take2games.com","Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.take2games.com/ir","NO","PASS","PASS","YES","MV-A-PAIR-002","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","REVIEWED","Live page identity/title checked: Corporate Profile | Take-Two Interactive Software, Inc."
"MV-A","SRC-DEC-STUDIO-NAME-001-005","CNT-DEC-STUDIO-NAME-001-003","EXISTING","https://www.thqnordic.com/","THQ Nordic","ORG:www.thqnordic.com","Official organisation source","PRIMARY/OFFICIAL","VERIFIED_WITH_REDIRECT","https://thqnordic.com/","YES","PASS","PASS","YES","MV-A-PAIR-003","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","REVIEWED","Live page identity/title checked: THQ Nordic - THQ Nordic - Official Website"
"MV-A","SRC-DEC-STUDIO-NAME-001-006","CNT-DEC-STUDIO-NAME-001-003","EXISTING","https://www.ubisoft.com/en-us/games","www.ubisoft.com","ORG:www.ubisoft.com","Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.ubisoft.com/en-us/games","NO","FAIL","FAIL","NO","MV-A-PAIR-003","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","REJECTED","Live page belongs to a different entity; existing Source ID retained and rejected."
"MV-A","SRC-DEC-STUDIO-NAME-001-007","CNT-DEC-STUDIO-NAME-001-004","EXISTING","https://www.bandainamcoent.com/","Bandai Namco Entertainment","ORG:www.bandainamcoent.com","Official organisation source","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.bandainamcoent.com/","NO","PASS","PASS","YES","MV-A-PAIR-004","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","REVIEWED","Live page identity/title checked: Official Site | Bandai Namco Entertainment America"
"MV-A","SRC-DEC-STUDIO-NAME-001-008","CNT-DEC-STUDIO-NAME-001-004","EXISTING","https://www.bandainamcoent.com/games","Bandai Namco Entertainment","ORG:www.bandainamcoent.com","Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.bandainamcoent.com/games","NO","PASS","PASS","YES","MV-A-PAIR-004","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","REVIEWED","Live page identity/title checked: Bandai Namco Entertainment America Inc."
"MV-A","SRC-DEC-STUDIO-NAME-001-009","CNT-DEC-STUDIO-NAME-001-005","EXISTING","https://www.capcom.com/","Capcom","ORG:www.capcom.com","Official organisation source","PRIMARY/OFFICIAL","VERIFIED_ACCESSIBLE","https://www.capcom.com/","NO","PASS","PASS","YES","MV-A-PAIR-005","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","REVIEWED","Live page identity/title checked: Capcom"
"MV-A","SRC-DEC-STUDIO-NAME-001-010","CNT-DEC-STUDIO-NAME-001-005","EXISTING","https://www.capcom-games.com/","Capcom","ORG:www.capcom.com","Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı","PRIMARY/OFFICIAL","ACCESS_BLOCKED","https://www.capcom-games.com/","NO","RECHECK_REQUIRED","RECHECK_REQUIRED","NO","MV-A-PAIR-005","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","NEEDS_RECHECK","Live request was blocked or transport/redirect completion was inconclusive: 403"
