"Verification Batch ID","Counted Sample ID","Canonical Entity ID","Normalized Entity Name","Original Status","Verification Result","Qualifying Source 1 ID","Qualifying Source 2 ID","Primary Source Requirement","Independent Publisher Requirement","Independent Origin Requirement","Identity Check","Claim Support Check","Reviewer Agent ID","Review Date","Review Time","Confidence","Notes"
"MV-A","CNT-DEC-STUDIO-NAME-001-001","CAN-DEC-STUDIO-NAME-001-001","koei tecmo","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-002","CAN-DEC-STUDIO-NAME-001-002","take two interactive","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-003","CAN-DEC-STUDIO-NAME-001-003","thq nordic","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-004","CAN-DEC-STUDIO-NAME-001-004","bandai namco entertainment","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-005","CAN-DEC-STUDIO-NAME-001-005","capcom","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-006","CAN-DEC-STUDIO-NAME-001-006","sega","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-007","CAN-DEC-STUDIO-NAME-001-007","square enix","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-008","CAN-DEC-STUDIO-NAME-001-008","konami digital entertainment","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-009","CAN-DEC-STUDIO-NAME-001-009","nintendo","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-010","CAN-DEC-STUDIO-NAME-001-010","sony interactive entertainment","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
