Verification Batch ID,Source ID,Counted Sample ID,Existing or New,URL or Official Record Identifier,Publisher/Institution,Source Origin Group,Source Type,Primary/Official Classification,Accessibility Result,Final URL,Redirect Observed,Identity Result,Claim Support Result,Qualifies as Activity Signal,Independence Pair ID,Reviewer Agent ID,Review Date,Review Time,Final Review Status,Notes
MV-C,SRC-DEC-STUDIO-NAME-001-121,CNT-DEC-STUDIO-NAME-001-061,Existing,https://chucklefish.org/,Chucklefish,ORG:chucklefish.org,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://chucklefish.org/,NO,PASS,PASS,YES,PAIR-061,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-122,CNT-DEC-STUDIO-NAME-001-061,Existing,https://en.wikipedia.org/wiki/Chucklefish,Wikimedia Foundation / Wikipedia editors,PLATFORM:WIKIPEDIA,Independent reference work,SECONDARY/INDEPENDENT,VERIFIED_ACCESSIBLE,https://en.wikipedia.org/wiki/Chucklefish,NO,PASS,PASS,YES,PAIR-061,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-123,CNT-DEC-STUDIO-NAME-001-062,Existing,https://www.mediatonicgames.com/,Mediatonic,ORG:www.mediatonicgames.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.mediatonicgames.com/,NO,PASS,PASS,YES,PAIR-062,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-124,CNT-DEC-STUDIO-NAME-001-062,Existing,https://en.wikipedia.org/wiki/Mediatonic,Wikimedia Foundation / Wikipedia editors,PLATFORM:WIKIPEDIA,Independent reference work,SECONDARY/INDEPENDENT,VERIFIED_ACCESSIBLE,https://en.wikipedia.org/wiki/Mediatonic,NO,PASS,PASS,YES,PAIR-062,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-125,CNT-DEC-STUDIO-NAME-001-063,Existing,https://aggrocrab.com/,Aggro Crab,ORG:aggrocrab.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://aggrocrab.com/,NO,PASS,PASS,YES,PAIR-063,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-126,CNT-DEC-STUDIO-NAME-001-063,Existing,https://aggrocrab.com/games,Aggro Crab,ORG:aggrocrab.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://aggrocrab.com/games,NO,PASS,PASS,YES,PAIR-063,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-127,CNT-DEC-STUDIO-NAME-001-064,Existing,https://www.heartmachine.com/,Heart Machine,ORG:www.heartmachine.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.heartmachine.com/,NO,PASS,PASS,YES,PAIR-064,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-128,CNT-DEC-STUDIO-NAME-001-064,Existing,https://en.wikipedia.org/wiki/Heart_Machine,Wikimedia Foundation / Wikipedia editors,PLATFORM:WIKIPEDIA,Independent reference work,SECONDARY/INDEPENDENT,VERIFIED_ACCESSIBLE,https://en.wikipedia.org/wiki/Heart_Machine,NO,PASS,PASS,YES,PAIR-064,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-129,CNT-DEC-STUDIO-NAME-001-065,Existing,https://nightschoolstudio.com/,Night School Studio,ORG:nightschoolstudio.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://nightschoolstudio.com/,NO,PASS,PASS,YES,PAIR-065,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-130,CNT-DEC-STUDIO-NAME-001-065,Existing,https://nightschoolstudio.com/games/,Night School Studio,ORG:nightschoolstudio.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://nightschoolstudio.com/games/,NO,PASS,PASS,YES,PAIR-065,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-131,CNT-DEC-STUDIO-NAME-001-066,Existing,https://www.mobiusdigitalgames.com/,Mobius Digital,ORG:www.mobiusdigitalgames.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.mobiusdigitalgames.com/,NO,PASS,PASS,YES,PAIR-066,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-132,CNT-DEC-STUDIO-NAME-001-066,Existing,https://www.mobiusdigitalgames.com/outer-wilds.html,Mobius Digital,ORG:www.mobiusdigitalgames.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.mobiusdigitalgames.com/outer-wilds.html,NO,PASS,PASS,YES,PAIR-066,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
