game,segment,platform,core_gameplay_loop,player_goal,city_base,economy_resources,army,world_map,combat,technology_progression,multiplayer,monetization,strengths,player_friction,lesson_for_our_game,primary_source
"Sid Meier's Civilization VI","4X / grand strategy","PC/console/mobile","Explore; settle; improve districts; research; negotiate or fight; pursue victory","Achieve one of several civilization victories","Multi-city districts physically occupy terrain","Food; production; gold; science; culture; strategic resources","Tile units; combined support; promotions","Turn-based hex world","Deterministic tactical tile combat","Technology and civic trees with activity-based boosts","Online/local competitive and co-op","Premium base game plus expansions/DLC","Clear long arc; several viable victory vectors; geography shapes cities","Late-game turn load and system stacking can dilute individual decisions","Let terrain alter city specialization and offer visible medium-term goals; cap slice length","https://civilization.2k.com/en-GB/civ-vi/"
"Age of Empires IV","RTS","PC/console","Gather; build; age up; produce army; scout; attack","Destroy or outscore rivals; complete campaign objectives","Compact real-time settlement and defenses","Food; wood; gold; stone; population","Readable counters and civilization-specific rosters","Match map with fog, resources and control points","Real-time micro plus formation and siege decisions","Four-age unlock ladder and upgrades","Skirmish, ranked, co-op and campaigns","Premium plus expansions","Strong economy-to-army causality; readable counterplay","High APM and early build-order knowledge create an onboarding wall","Keep economy-to-unit conversion legible; use tactical pause or command cadence for the slice","https://www.ageofempires.com/news/quickstart-guide-age-of-empires-iv/"
"Total War: WARHAMMER III","Grand strategy / real-time tactics","PC","Manage empire and armies on campaign map; resolve battles; expand","Dominate campaign objectives and rival factions","Province settlements with upgrade slots","Treasury; province income; faction resources","Large roster armies led by characters","Large turn-based campaign map","Large real-time field and siege battles","Buildings; lord skills; faction research","Up to 8-player campaign; PvP/co-op battles","Premium plus extensive paid DLC","Powerful campaign-to-battle spectacle; faction asymmetry","Long campaigns; autoresolve tension; DLC/content complexity; multiplayer desync reports","Prototype the campaign/battle handoff with few units before attempting scale or many factions","https://support.sega.com/hc/en-gb/articles/4417717186833-TOTAL-WAR-WARHAMMER-III-FAQ"
"Crusader Kings III","Grand strategy / dynasty simulation","PC/console","Manage ruler; relationships; realm; schemes and wars; handle succession","Build a lasting dynasty and personal legacy","Holdings and domain upgrades rather than free placement","Gold; prestige; piety; levies; opinion","Levies; men-at-arms; knights","Persistent province map","Campaign-level army movement and resolved battles","Culture; innovations; lifestyle perks; dynasty legacies","Online shared campaign","Premium plus expansions and flavor packs","Emergent character stories make setbacks memorable","Dense UI and indirect control can obscure why outcomes occur","Attach human consequences and named leaders to strategic losses without simulating a full dynasty","https://www.paradoxinteractive.com/games/crusader-kings-iii/about"
"Stellaris","Space 4X / grand strategy","PC/console","Explore; claim; colonize; specialize; research; diplomatically compete or wage war","Shape and secure a customizable interstellar empire","Planet and habitat specialization","Energy; minerals; food; alloys; consumer goods; research; influence","Designed fleets with composition and logistics","Procedural galaxy network","Fleet positioning and largely automated battles","Wide technology draws; traditions; ascension","Online shared galaxy","Premium plus many expansions","Discovery, customization and emergent crises sustain replay","Mid/late-game management load and content layering can overwhelm","Make scouting produce consequential choices and reserve crises for a compact climax","https://www.paradoxinteractive.com/games/stellaris/about"
"Anno 1800","City builder / economic strategy","PC/console","Settle; satisfy population tiers; build production chains; trade; expand regions","Create a prosperous multi-region industrial network","Dense freeform cities across islands","Multi-stage goods; workforce tiers; ships and trade routes","Ships and limited land/naval military elements","Multiple island sessions","Real-time naval and strategic combat","Population tiers and production unlocks","Sandbox multiplayer and co-op","Premium plus expansions","Deep, visible supply chains and satisfying specialization","Logistics scale becomes busywork; combat is secondary for war-focused players","Use only 3-4 meaningful chains and show physical delivery; automate mature routes","https://www.ubisoft.com/en-us/game/anno/1800"
"Frostpunk","Survival city builder","PC/console","Gather; heat; build; assign labor; pass laws; survive escalating crises","Keep the last city alive without losing social control","Radial city organized around a heat source","Coal; wood; steel; food; steam cores; labor; heat","No conventional army; scouts and guards serve strategic roles","Expedition node map","Crisis and policy conflict rather than tactical warfare","Research workshop plus escalating laws","None","Premium plus expansions","Resources, ethics and time pressure reinforce one fantasy","Punishing failure and scripted scenario knowledge reduce relaxed replay","Tie every resource choice to visible people and consequences; let the slice end with one authored crisis","https://store.steampowered.com/app/323190/Frostpunk/"
"Against the Storm","Roguelite city builder","PC/console","Establish settlement; adapt to random blueprints; fulfill orders; leave before hostility wins","Complete settlements that advance a persistent campaign","Small temporary settlements","Food and crafting chains; trade; resolve; impatience; hostility","No conventional army","Meta-map links successive settlements","Environmental threats and event choices","Run unlocks plus Smoldering City meta-progression","None","Premium plus DLC","Short sessions solve city-builder late-game fatigue; forced adaptation boosts replay","Players wanting permanent cities may dislike resets; many recipes can overload","Design a 45-60 minute regional objective with persistent unlocks, not an endless first slice","https://store.steampowered.com/app/1336490/Against_the_Storm/"
"Manor Lords","City builder / tactical strategy","PC","Grow village; balance production and trade; claim regions; muster and fight","Build a viable domain and contest territory","Organic gridless settlement","Physical goods; local labor; trade; seasonal food","Militia drawn from population; mercenaries; equipment matters","Region-based strategic map","Real-time formations; fatigue; weather and equipment","Settlement levels; buildings and policies","Planned/not core in current early-access positioning","Premium early access","City and army share population and equipment, making losses meaningful","Early-access repetition and tension between city-builder and warfare audiences","Make soldiers remain citizens and keep city/war goals mutually reinforcing","https://store.steampowered.com/app/1363080/_Manor_Lords/"
"Northgard","RTS / territory strategy","PC/console/mobile","Claim zones; assign villagers; survive seasons; specialize clan; pursue victory","Win through conquest or alternative clan/map objectives","Zone-limited buildings and population","Food; wood; crowns; lore; stone; iron; happiness","Small warbands and clan-specific units","Region graph with hazards and resources","Real-time zone control with low-to-medium micro","Lore tree; building upgrades; clan bonuses","Competitive/co-op skirmish and conquest","Premium plus clan DLC; mobile premium","Scarcity, winter and zone caps keep decisions sharp","Resource pressure and clan knowledge can punish newcomers","Use region capacity and seasonal forecasting to bound city complexity","https://northgard.net/game/"
"They Are Billions","Survival RTS / colony defense","PC/console","Expand economy; clear infected; wall choke points; survive timed hordes","Keep colony command center alive","Defensive colony with power grid and walls","Workers; food; energy; gold; wood; stone; iron; oil","Specialized troops, towers and patrols","Single survival map or campaign nodes","Real-time with pause; high-stakes breach cascades","Building tiers; unit unlocks; campaign research","None","Premium","Clear build-up/payoff rhythm and spectacular threat escalation","One small mistake can cause total cascade; repetition and trial knowledge","Use a telegraphed final assault and forgiving recovery states for the first slice","https://store.steampowered.com/app/644930/They_Are_Billions/"
"Songs of Syx","City-state / grand strategy simulation","PC","Build settlement; satisfy populations; scale industry; trade; raise armies; conquer","Grow from small settlement to regional empire","Large simulation city with thousands of individuals","Many physical goods; labor; trade; taxation","City recruits feed field armies and huge battles","Regional empire map connected to city","Large-scale tactical defense and campaign conquest","Civic, production and military unlocks","None","Premium/early access; free older demo","Exceptional scale and city-to-empire continuity","Dense UI and simulation opacity; scale raises onboarding cost","Prove city-to-world continuity at tiny scale; avoid simulating thousands in slice","https://songsofsyx.itch.io/songs-of-syx"
"Mount & Blade II: Bannerlord","Sandbox strategy / action RPG","PC/console","Travel; trade/quest; recruit; fight; gain renown; join or found kingdom","Rise from adventurer to clan and realm leader","Settlement management through menus and upgrades","Dynamic trade goods; wages; loot; workshops; caravans","Persistent party with troop tiers and companions","Real-time traveling campaign map","Player-led real-time battles and sieges","Character skills; clan tier; troop upgrades; policies","Separate PvP modes and dedicated servers","Premium plus expansion","Personal presence makes army growth emotionally legible","Repetition, AI/diplomacy limits and campaign/combat separation","Give commanders identity and persistent casualties without building an action RPG","https://support.plaion.com/en/games/MnB2Bannerlord/article/17-About-the-Game/"
"Old World","Turn-based 4X / dynasty strategy","PC","Spend limited orders; develop cities; manage families; research; wage war","Earn legitimacy/ambitions and outlast rival dynasties","Discrete cities with specialists and improvements","Food; iron; stone; wood; money; civics; training; orders","Tile units compete for shared order budget","Turn-based ancient world map","Tactical tile combat constrained by orders","Randomized technology choices; laws and character development","Hotseat, asynchronous, cloud, co-op and competitive","Premium plus expansions","Shared order resource forces empire-wide priorities","Character/event density and many yields increase cognitive load","A command-budget can make a small army strategically rich and multiplayer-ready","https://store.steampowered.com/app/597180/_Old_World/"
"Farthest Frontier","Survival city builder","PC","Harvest; build chains; manage seasons/disease; trade; defend raids; tier up","Turn a frontier settlement into a resilient city","Freeform settlement with 180+ buildings","Physical goods, spoilage, farming, logistics and labor","Recruited/equipped guards and soldiers","Procedural local map; no grand campaign layer","Optional real-time settlement defense","Town tiers and 130+ tech tree","None","Premium","Detailed physical logistics and environmental specialization","Slow early waiting and deep micromanagement can become work","Simulate just a few goods with clear bottleneck alerts and fast time controls","https://www.farthestfrontier.com/guide/about/major-features/"
"Rise of Kingdoms","Mobile MMO strategy","Mobile/PC client","Collect; build; research; train; gather; march; join alliance events; fight","Grow power and help alliance control kingdom objectives","Timed city upgrades","Farmed map resources; currencies; speedups","Commander-led marches with troop tiers","Persistent shared map with free marching","Real-time open-field marches, rallies and garrisons","Building/research tiers and commander levels/skills","Alliance-centric persistent kingdoms","Free-to-play in-app purchases, including acceleration/commander economy","Seamless map and social coordination create long-term attachment","Timers, power gaps, daily chores and spend pressure can undermine fair competition","Keep free marching and cooperative objectives; reject paid power and punitive timers","https://apps.apple.com/us/app/rise-of-kingdoms/id1354260888"
"Clash of Clans","Mobile base strategy","Mobile/PC client","Collect; upgrade base; train/compose army; attack asynchronously; join clan wars","Improve village and win attacks/clan competitions","Player-designed defensive village","Gold; elixir; dark elixir; builders and timers","Pre-composed one-use deployment armies with heroes/spells","Target browser and clan war maps, not free world movement","Asynchronous attack with irreversible deployment","Town Hall, building and troop levels","Clans, donations, clan wars and raids","Free-to-play with in-app purchases and optional passes","Polished short attack loop; base layout produces player expression","Upgrade timers, progression grind and mismatch/power frustration","Make battles short and readable, but preserve unit command and avoid monetized waiting","https://apps.apple.com/us/app/clash-of-clans/id529479190"
"Call of Dragons","Mobile MMO strategy","Mobile/PC client","Build; gather; train; explore; march; hunt; capture passes/behemoths with alliance","Advance through seasonal map and alliance objectives","Timed city and alliance structures","Map nodes; currencies; stamina; speedups","Hero-led legions with unit types and pets","Persistent seasonal shared map with terrain and portals","Real-time field combat, rallies, bosses and garrisons","City/research tiers; heroes; artifacts; seasonal growth","Alliance-centric persistent seasons","Free-to-play with in-app purchases","Terrain, cooperative bosses and multiple legions add map tactics","Season resets, commander investment, chores and spend gaps add friction","Use one cooperative world boss as a slice climax; separate strategic progression from paid stats","https://apps.apple.com/us/app/call-of-dragons/id1605558677"
"Lords Mobile","Mobile MMO strategy","Mobile","Upgrade; research; train; gather; hunt; rally; guild events; kingdom war","Increase might and win guild/kingdom competition","Timed turf upgrades","Resources; speedups; currencies; gathering","Troop tiers plus heroes and rally compositions","Persistent kingdom map","Real-time march/rally outcomes plus separate hero stages","Research, buildings, heroes, gear and familiars","Guild-centric kingdoms and recurring events","Free-to-play with purchases and multiple subscriptions","Many social reasons to return; guild help makes progress communal","Layered monetization, chores, protection schedules and power disparity","Borrow guild assistance and rally readability, not overlapping progression economies","https://apps.apple.com/us/app/lords-mobile-kingdom-wars/id1071976327"
