Batch ID,Source ID,Counted Sample ID,Existing or New,URL / Official Record ID,Publisher/Institution,Source Origin Group,Source Type,Primary/Official Classification,Accessibility Result,Final URL,Identity Result,Claim Support Result,Qualifies as Evidence,Independence Pair ID,Reviewer Agent ID,Review Date,Review Time,Final Review Status,Notes
MV-D,SRC-DEC-STUDIO-NAME-001-181,CNT-DEC-STUDIO-NAME-001-091,EXISTING,https://ace.games/,Ace Games,ORG:ace.games,Official organisation source,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://ace.games/,FAIL,FAIL,NO,PAIR-091,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,12:25:06+0300,NEEDS_RECHECK,Live direct review. URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1032)>. Pair independence evaluated separately; same corporate root cannot form a qualifying pair.
MV-D,SRC-DEC-STUDIO-NAME-001-182,CNT-DEC-STUDIO-NAME-001-091,EXISTING,https://ace.games/games/,UNRESOLVED,ORG:ace.games,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://ace.games/games/,FAIL,FAIL,NO,PAIR-091,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,12:25:06+0300,NEEDS_RECHECK,Live direct review. URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1032)>. Pair independence evaluated separately; same corporate root cannot form a qualifying pair.
MV-D,SRC-DEC-STUDIO-NAME-001-183,CNT-DEC-STUDIO-NAME-001-092,EXISTING,https://www.tiltingpoint.com/,Tilting Point,ORG:www.tiltingpoint.com,Official organisation source,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://www.tiltingpoint.com/,FAIL,FAIL,NO,PAIR-092,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,12:25:06+0300,NEEDS_RECHECK,Live direct review. URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1032)>. Pair independence evaluated separately; same corporate root cannot form a qualifying pair.
MV-D,SRC-DEC-STUDIO-NAME-001-184,CNT-DEC-STUDIO-NAME-001-092,EXISTING,https://www.tiltingpoint.com/games/,UNRESOLVED,ORG:www.tiltingpoint.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://www.tiltingpoint.com/games/,FAIL,FAIL,NO,PAIR-092,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,12:25:06+0300,NEEDS_RECHECK,Live direct review. URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1032)>. Pair independence evaluated separately; same corporate root cannot form a qualifying pair.
MV-D,SRC-DEC-STUDIO-NAME-001-185,CNT-DEC-STUDIO-NAME-001-093,EXISTING,https://kabam.com/,Kabam,ORG:kabam.com,Official organisation source,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://kabam.com/,FAIL,FAIL,NO,PAIR-093,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,12:25:06+0300,NEEDS_RECHECK,Live direct review. URLError: <urlopen error timed out>. Pair independence evaluated separately; same corporate root cannot form a qualifying pair.
MV-D,SRC-DEC-STUDIO-NAME-001-186,CNT-DEC-STUDIO-NAME-001-093,EXISTING,https://kabam.com/games/,UNRESOLVED,ORG:kabam.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://kabam.com/games/,FAIL,FAIL,NO,PAIR-093,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,12:25:06+0300,NEEDS_RECHECK,Live direct review. URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1032)>. Pair independence evaluated separately; same corporate root cannot form a qualifying pair.
MV-D,SRC-DEC-STUDIO-NAME-001-187,CNT-DEC-STUDIO-NAME-001-094,EXISTING,https://www.lilith.com/,Lilith Games,ORG:www.lilith.com,Official organisation source,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://www.lilith.com/,FAIL,FAIL,NO,PAIR-094,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,12:25:06+0300,NEEDS_RECHECK,Live direct review. URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1032)>. Pair independence evaluated separately; same corporate root cannot form a qualifying pair.
MV-D,SRC-DEC-STUDIO-NAME-001-188,CNT-DEC-STUDIO-NAME-001-094,EXISTING,https://www.lilith.com/game,UNRESOLVED,ORG:www.lilith.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://www.lilith.com/game,FAIL,FAIL,NO,PAIR-094,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,12:25:06+0300,NEEDS_RECHECK,Live direct review. URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1032)>. Pair independence evaluated separately; same corporate root cannot form a qualifying pair.
MV-D,SRC-DEC-STUDIO-NAME-001-189,CNT-DEC-STUDIO-NAME-001-095,EXISTING,https://www.yoozoo.com/,Yoozoo Games,ORG:www.yoozoo.com,Official organisation source,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://www.yoozoo.com/,FAIL,FAIL,NO,PAIR-095,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,12:25:06+0300,NEEDS_RECHECK,Live direct review. URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1032)>. Pair independence evaluated separately; same corporate root cannot form a qualifying pair.
MV-D,SRC-DEC-STUDIO-NAME-001-190,CNT-DEC-STUDIO-NAME-001-095,EXISTING,https://www.yoozoo.com/product.html,UNRESOLVED,ORG:www.yoozoo.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://www.yoozoo.com/product.html,FAIL,FAIL,NO,PAIR-095,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,12:25:06+0300,NEEDS_RECHECK,Live direct review. URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1032)>. Pair independence evaluated separately; same corporate root cannot form a qualifying pair.
