Counted Sample ID,Sample ID,Event ID,Official Brand/Company or Event Name,Primary Layer,Secondary Tags,Status,Country,Region,Scale,Scale Criterion,Main Activity,Main Platform Focus,Name Structural Form,Suffix/Descriptor,Rebrand History,Known Naming/Brand Problem,Activity Evidence 1,Activity Evidence 2,Source IDs,Last Verification Date,Include/Exclude/Escalate,Layer Assignment Rationale,Confidence,Reviewer,Related Sample/Event ID,Canonical Entity ID,Normalized Entity Name,Parent Entity ID,Entity Relationship,Primary Counted Layer,Historical Case Relationship,Duplicate Review Status,Scale Category,Scale Basis,Scale Evidence Source IDs,Scale Confidence,Scale Review Status,Historical Old Name,Historical New Name or Resolution,Historical Event Date,Historical Verified Reason,Historical Case Classification,Historical Reason Confidence
CNT-DEC-STUDIO-NAME-001-001,SMP-DEC-STUDIO-NAME-001-001,NOT APPLICABLE,Koei Tecmo,Büyük uluslararası yayıncılar,game/creative market comparator,STATUS_UNCERTAIN,Japan,Doğu Asya,NOT_APPLICABLE,Official site/portfolio breadth coding; employee count not asserted,Game development/publishing,PC/console/mobile or multi-platform,İki kelime,Yok,NOT VERIFIED,NOT VERIFIED,QUALIFYING_EVIDENCE_INCOMPLETE,QUALIFYING_EVIDENCE_INCOMPLETE,SRC-DEC-STUDIO-NAME-001-001;SRC-DEC-STUDIO-NAME-001-002,2026-08-08,ESCALATE,Primary activity and official portfolio aligned to layer; no secondary quota count,LOW — fail-closed source review,quality-assurance-director,NOT APPLICABLE,CAN-DEC-STUDIO-NAME-001-001,koei tecmo,NOT_APPLICABLE,INDEPENDENT_SAMPLE_UNIT,Büyük uluslararası yayıncılar,HISTORICAL_EVENT_SUBJECT,REVIEWED_UNIQUE,NOT_APPLICABLE,Historical case,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,STATUS_UNCERTAIN,LOW
CNT-DEC-STUDIO-NAME-001-002,SMP-DEC-STUDIO-NAME-001-002,NOT APPLICABLE,Take-Two Interactive,Büyük uluslararası yayıncılar,game/creative market comparator,STATUS_UNCERTAIN,United States,Kuzey Amerika,NOT_APPLICABLE,Official site/portfolio breadth coding; employee count not asserted,Game development/publishing,PC/console/mobile or multi-platform,İki kelime,Interactive,NOT VERIFIED,NOT VERIFIED,QUALIFYING_EVIDENCE_INCOMPLETE,QUALIFYING_EVIDENCE_INCOMPLETE,SRC-DEC-STUDIO-NAME-001-003;SRC-DEC-STUDIO-NAME-001-004,2026-08-08,ESCALATE,Primary activity and official portfolio aligned to layer; no secondary quota count,LOW — fail-closed source review,quality-assurance-director,NOT APPLICABLE,CAN-DEC-STUDIO-NAME-001-002,take two interactive,NOT_APPLICABLE,INDEPENDENT_SAMPLE_UNIT,Büyük uluslararası yayıncılar,HISTORICAL_EVENT_SUBJECT,REVIEWED_UNIQUE,NOT_APPLICABLE,Historical case,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,STATUS_UNCERTAIN,LOW
CNT-DEC-STUDIO-NAME-001-003,SMP-DEC-STUDIO-NAME-001-003,NOT APPLICABLE,THQ Nordic,Büyük uluslararası yayıncılar,game/creative market comparator,STATUS_UNCERTAIN,Austria,Avrupa,NOT_APPLICABLE,Official site/portfolio breadth coding; employee count not asserted,Game development/publishing,PC/console/mobile or multi-platform,Tek kelime,Yok,NOT VERIFIED,NOT VERIFIED,QUALIFYING_EVIDENCE_INCOMPLETE,QUALIFYING_EVIDENCE_INCOMPLETE,SRC-DEC-STUDIO-NAME-001-005;SRC-DEC-STUDIO-NAME-001-006,2026-08-08,ESCALATE,Primary activity and official portfolio aligned to layer; no secondary quota count,LOW — fail-closed source review,quality-assurance-director,NOT APPLICABLE,CAN-DEC-STUDIO-NAME-001-003,thq nordic,NOT_APPLICABLE,INDEPENDENT_SAMPLE_UNIT,Büyük uluslararası yayıncılar,HISTORICAL_EVENT_SUBJECT,REVIEWED_UNIQUE,NOT_APPLICABLE,Historical case,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,STATUS_UNCERTAIN,LOW
CNT-DEC-STUDIO-NAME-001-004,SMP-DEC-STUDIO-NAME-001-004,NOT APPLICABLE,Bandai Namco Entertainment,Büyük uluslararası yayıncılar,game/creative market comparator,STATUS_UNCERTAIN,Japan,Doğu Asya,NOT_APPLICABLE,Official site/portfolio breadth coding; employee count not asserted,Game development/publishing,PC/console/mobile or multi-platform,Üç+ kelime,Entertainment,NOT VERIFIED,NOT VERIFIED,QUALIFYING_EVIDENCE_INCOMPLETE,QUALIFYING_EVIDENCE_INCOMPLETE,SRC-DEC-STUDIO-NAME-001-007;SRC-DEC-STUDIO-NAME-001-008,2026-08-08,ESCALATE,Primary activity and official portfolio aligned to layer; no secondary quota count,LOW — fail-closed source review,quality-assurance-director,NOT APPLICABLE,CAN-DEC-STUDIO-NAME-001-004,bandai namco entertainment,NOT_APPLICABLE,INDEPENDENT_SAMPLE_UNIT,Büyük uluslararası yayıncılar,HISTORICAL_EVENT_SUBJECT,REVIEWED_UNIQUE,NOT_APPLICABLE,Historical case,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,STATUS_UNCERTAIN,LOW
CNT-DEC-STUDIO-NAME-001-005,SMP-DEC-STUDIO-NAME-001-005,NOT APPLICABLE,Capcom,Büyük uluslararası yayıncılar,game/creative market comparator,STATUS_UNCERTAIN,Japan,Doğu Asya,NOT_APPLICABLE,Official site/portfolio breadth coding; employee count not asserted,Game development/publishing,PC/console/mobile or multi-platform,Birleşik kelime,Yok,NOT VERIFIED,NOT VERIFIED,QUALIFYING_EVIDENCE_INCOMPLETE,QUALIFYING_EVIDENCE_INCOMPLETE,SRC-DEC-STUDIO-NAME-001-009;SRC-DEC-STUDIO-NAME-001-010,2026-08-08,ESCALATE,Primary activity and official portfolio aligned to layer; no secondary quota count,LOW — fail-closed source review,quality-assurance-director,NOT APPLICABLE,CAN-DEC-STUDIO-NAME-001-005,capcom,NOT_APPLICABLE,INDEPENDENT_SAMPLE_UNIT,Büyük uluslararası yayıncılar,HISTORICAL_EVENT_SUBJECT,REVIEWED_UNIQUE,NOT_APPLICABLE,Historical case,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,STATUS_UNCERTAIN,LOW
CNT-DEC-STUDIO-NAME-001-006,SMP-DEC-STUDIO-NAME-001-006,NOT APPLICABLE,Sega,Büyük uluslararası yayıncılar,game/creative market comparator,STATUS_UNCERTAIN,Japan,Doğu Asya,NOT_APPLICABLE,Official site/portfolio breadth coding; employee count not asserted,Game development/publishing,PC/console/mobile or multi-platform,Kısaltma,Yok,NOT VERIFIED,NOT VERIFIED,QUALIFYING_EVIDENCE_INCOMPLETE,QUALIFYING_EVIDENCE_INCOMPLETE,SRC-DEC-STUDIO-NAME-001-011;SRC-DEC-STUDIO-NAME-001-012,2026-08-08,ESCALATE,Primary activity and official portfolio aligned to layer; no secondary quota count,LOW — fail-closed source review,quality-assurance-director,NOT APPLICABLE,CAN-DEC-STUDIO-NAME-001-006,sega,NOT_APPLICABLE,INDEPENDENT_SAMPLE_UNIT,Büyük uluslararası yayıncılar,HISTORICAL_EVENT_SUBJECT,REVIEWED_UNIQUE,NOT_APPLICABLE,Historical case,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,STATUS_UNCERTAIN,LOW
CNT-DEC-STUDIO-NAME-001-007,SMP-DEC-STUDIO-NAME-001-007,NOT APPLICABLE,Square Enix,Büyük uluslararası yayıncılar,game/creative market comparator,STATUS_UNCERTAIN,Japan,Doğu Asya,NOT_APPLICABLE,Official site/portfolio breadth coding; employee count not asserted,Game development/publishing,PC/console/mobile or multi-platform,İki kelime,Yok,NOT VERIFIED,NOT VERIFIED,QUALIFYING_EVIDENCE_INCOMPLETE,QUALIFYING_EVIDENCE_INCOMPLETE,SRC-DEC-STUDIO-NAME-001-013;SRC-DEC-STUDIO-NAME-001-014,2026-08-08,ESCALATE,Primary activity and official portfolio aligned to layer; no secondary quota count,LOW — fail-closed source review,quality-assurance-director,NOT APPLICABLE,CAN-DEC-STUDIO-NAME-001-007,square enix,NOT_APPLICABLE,INDEPENDENT_SAMPLE_UNIT,Büyük uluslararası yayıncılar,HISTORICAL_EVENT_SUBJECT,REVIEWED_UNIQUE,NOT_APPLICABLE,Historical case,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,STATUS_UNCERTAIN,LOW
CNT-DEC-STUDIO-NAME-001-008,SMP-DEC-STUDIO-NAME-001-008,NOT APPLICABLE,Konami Digital Entertainment,Büyük uluslararası yayıncılar,game/creative market comparator,STATUS_UNCERTAIN,Japan,Doğu Asya,NOT_APPLICABLE,Official site/portfolio breadth coding; employee count not asserted,Game development/publishing,PC/console/mobile or multi-platform,Üç+ kelime,Entertainment,NOT VERIFIED,NOT VERIFIED,QUALIFYING_EVIDENCE_INCOMPLETE,QUALIFYING_EVIDENCE_INCOMPLETE,SRC-DEC-STUDIO-NAME-001-015;SRC-DEC-STUDIO-NAME-001-016,2026-08-08,ESCALATE,Primary activity and official portfolio aligned to layer; no secondary quota count,LOW — fail-closed source review,quality-assurance-director,NOT APPLICABLE,CAN-DEC-STUDIO-NAME-001-008,konami digital entertainment,NOT_APPLICABLE,INDEPENDENT_SAMPLE_UNIT,Büyük uluslararası yayıncılar,HISTORICAL_EVENT_SUBJECT,REVIEWED_UNIQUE,NOT_APPLICABLE,Historical case,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,STATUS_UNCERTAIN,LOW
CNT-DEC-STUDIO-NAME-001-009,SMP-DEC-STUDIO-NAME-001-009,NOT APPLICABLE,Nintendo,Büyük uluslararası yayıncılar,game/creative market comparator,STATUS_UNCERTAIN,Japan,Doğu Asya,NOT_APPLICABLE,Official site/portfolio breadth coding; employee count not asserted,Game development/publishing,PC/console/mobile or multi-platform,Tek kelime,Yok,NOT VERIFIED,NOT VERIFIED,QUALIFYING_EVIDENCE_INCOMPLETE,QUALIFYING_EVIDENCE_INCOMPLETE,SRC-DEC-STUDIO-NAME-001-017;SRC-DEC-STUDIO-NAME-001-018,2026-08-08,ESCALATE,Primary activity and official portfolio aligned to layer; no secondary quota count,LOW — fail-closed source review,quality-assurance-director,NOT APPLICABLE,CAN-DEC-STUDIO-NAME-001-009,nintendo,NOT_APPLICABLE,INDEPENDENT_SAMPLE_UNIT,Büyük uluslararası yayıncılar,HISTORICAL_EVENT_SUBJECT,REVIEWED_UNIQUE,NOT_APPLICABLE,Historical case,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,STATUS_UNCERTAIN,LOW
CNT-DEC-STUDIO-NAME-001-010,SMP-DEC-STUDIO-NAME-001-010,NOT APPLICABLE,Sony Interactive Entertainment,Büyük uluslararası yayıncılar,game/creative market comparator,STATUS_UNCERTAIN,Japan,Doğu Asya,NOT_APPLICABLE,Official site/portfolio breadth coding; employee count not asserted,Game development/publishing,PC/console/mobile or multi-platform,Üç+ kelime,Interactive Entertainment,NOT VERIFIED,NOT VERIFIED,QUALIFYING_EVIDENCE_INCOMPLETE,QUALIFYING_EVIDENCE_INCOMPLETE,SRC-DEC-STUDIO-NAME-001-019;SRC-DEC-STUDIO-NAME-001-020,2026-08-08,ESCALATE,Primary activity and official portfolio aligned to layer; no secondary quota count,LOW — fail-closed source review,quality-assurance-director,NOT APPLICABLE,CAN-DEC-STUDIO-NAME-001-010,sony interactive entertainment,NOT_APPLICABLE,INDEPENDENT_SAMPLE_UNIT,Büyük uluslararası yayıncılar,HISTORICAL_EVENT_SUBJECT,REVIEWED_UNIQUE,NOT_APPLICABLE,Historical case,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,RECORDED_IN_CASE_NAME,RECORDED_IN_CASE_NAME,NEEDS_RECHECK,REASON_UNVERIFIED,STATUS_UNCERTAIN,LOW
