Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Final Verification Status,Qualifying Reviewed Source IDs,Qualifying Source Count,Distinct Publisher Count,Distinct Source Origin Group Count,Primary/Official Present,Reviewer Agent ID,Review Date,Notes
MV-D,CNT-DEC-STUDIO-NAME-001-091,CAN-DEC-STUDIO-NAME-001-091,ace games,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-092,CAN-DEC-STUDIO-NAME-001-092,tilting point,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-093,CAN-DEC-STUDIO-NAME-001-093,kabam,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-094,CAN-DEC-STUDIO-NAME-001-094,lilith games,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-095,CAN-DEC-STUDIO-NAME-001-095,yoozoo games,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-096,CAN-DEC-STUDIO-NAME-001-096,com2us,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-097,CAN-DEC-STUDIO-NAME-001-097,netmarble,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-098,CAN-DEC-STUDIO-NAME-001-098,shift up,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-099,CAN-DEC-STUDIO-NAME-001-099,mighty bear games,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-100,CAN-DEC-STUDIO-NAME-001-100,amanotes,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-101,CAN-DEC-STUDIO-NAME-001-101,naughty dog,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-102,CAN-DEC-STUDIO-NAME-001-102,insomniac games,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-103,CAN-DEC-STUDIO-NAME-001-103,santa monica studio,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-104,CAN-DEC-STUDIO-NAME-001-104,sucker punch productions,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-105,CAN-DEC-STUDIO-NAME-001-105,guerrilla,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-106,CAN-DEC-STUDIO-NAME-001-106,polyphony digital,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-107,CAN-DEC-STUDIO-NAME-001-107,sie bend studio,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-214,1,1,1,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-108,CAN-DEC-STUDIO-NAME-001-108,bioware,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-109,CAN-DEC-STUDIO-NAME-001-109,respawn entertainment,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-110,CAN-DEC-STUDIO-NAME-001-110,dice,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-111,CAN-DEC-STUDIO-NAME-001-111,criterion games,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-112,CAN-DEC-STUDIO-NAME-001-112,codemasters,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-113,CAN-DEC-STUDIO-NAME-001-113,remedy entertainment,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-114,CAN-DEC-STUDIO-NAME-001-114,cd projekt red,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-115,CAN-DEC-STUDIO-NAME-001-115,techland,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-116,CAN-DEC-STUDIO-NAME-001-116,bloober team,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-117,CAN-DEC-STUDIO-NAME-001-117,people can fly,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-118,CAN-DEC-STUDIO-NAME-001-118,asobo studio,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-119,CAN-DEC-STUDIO-NAME-001-119,larian studios,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
MV-D,CNT-DEC-STUDIO-NAME-001-120,CAN-DEC-STUDIO-NAME-001-120,quantic dream,STATUS_UNCERTAIN,,0,0,0,NO,independent-market-evidence-verification-reviewer-mv-d,2026-08-10,"Fail-closed: fewer than two qualifying REVIEWED sources from distinct publishers and distinct origin groups, or no primary/official source."
